country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Switzerland ,9063.698338,9684.14403,9630.114226,9840.303403,10287.07649,10866.86747,11439.04856,11705.42333,11296.78784,11870.1274,12456.73256,13098.69376,13353.51218,13710.4854,14190.7593,14503.6177,14727.31821,15010.3909,15373.77691,16030.90792,16903.62215,17381.03537,17774.3931,18203.56771,18414.39628,17224.01812,17170.31828,17635.29491,17662.18697,18050.21068,18779.12288,18956.18206,18560.3991,18559.85927,19037.82786,19586.45717,19786.3397,19791.75157,20242.65108,20935.28453,21487.19471,21039.62782,20803.53954,20590.81299,20685.44933,20659.51843,20688.71205,21071.98968,21603.49053,21828.10474,22521.38119,22692.35687,22621.66764,22516.48204,22959.64717,23480.64037,24262.43554,25025.24076,25293.20404,24538.1947,25033.23864
Britain,6939.37399,7123.364486,7090.71981,7345.798826,7619.206146,7868.134888,7928.747265,8017.013416,7965.809649,8239.799061,8645.230276,8856.66673,8865.383172,9149.184149,9567.965031,9751.536339,9885.310104,10048.89099,10409.95037,10551.68497,10767.47196,10941.47423,11293.92464,12025.2802,11858.90367,11847.08708,12114.95214,12383.61309,12827.83485,13167.2832,12931.49128,12747.4263,12954.6474,13404.46683,13720.05724,14164.54611,14741.81575,15393.43739,16109.99643,16413.72292,16429.91158,16155.29228,16133.4947,16458.29616,17117.94169,17585.5274,18044.00318,19115.07246,19724.08541,20269.48154,21045.72002,21567.35403,22008.00623,22762.76505,23306.55958,23810.43167,24285.28265,25002.1191,24602.13363,23489.35501,23777.15576
Greece ,1915.007452,2061.754012,2053.21178,2309.425688,2358.295753,2513.577865,2705.885297,2858.989222,2963.124649,3040.264892,3145.637807,3392.692351,3499.193263,3840.617952,4141.154341,4508.947195,4749.089556,4950.64442,5265.786233,5766.141663,6210.645384,6623.911396,7399.904687,7655.318809,7349.679866,7721.513922,8104.555485,8255.161772,8694.523486,8903.718354,8971.216504,8896.072194,8879.08625,8865.786239,9066.801629,9315.695166,9440.006753,9374.614642,9783.90365,10111.3923,10015.40041,10203.71032,10200.9495,9982.078397,10136.00413,10321.40033,10542.77241,10902.40012,11250.16278,11616.43106,12110.84552,12592.43379,12998.09692,13742.04848,14313.17874,14610.99983,15392.44353,15826.62341,15777.51002,15243.98483,14690.73316
Portugal ,2086.405496,2167.662907,2161.376018,2297.950215,2393.392106,2474.748637,2564.070352,2658.871695,2672.314382,2794.047905,2955.835648,3119.186819,3330.450786,3504.118217,3718.3886,3992.397728,4163.995257,4481.160057,4873.368769,4986.58928,5472.899759,5870.785111,6355.422526,7062.984977,7047.690228,6517.204702,6814.197093,7165.669696,7339.99534,7733.306186,8044.243081,8114.452686,8279.604246,8254.659048,8088.808258,8305.992245,8641.006212,9185.107968,9867.738993,10371.91125,10826.39889,11303.51013,11416.68043,11138.3601,11178.69519,11613.61835,12000.97625,12460.15033,13012.74447,13465.66499,13922.21738,14127.25925,14170.93849,13980.06958,14138.59742,14191.46506,14343.1628,14631.41793,14583.48904,14118.34418,14279.04752
Spain ,2188.970566,2386.492902,2558.470494,2527.623818,2695.591422,2778.324925,2977.875423,3046.115401,3149.817572,3050.451888,3071.649933,3436.039484,3799.530401,4151.374137,4514.937244,4762.235585,5059.753682,5334.110597,5588.174071,6032.041152,6319.133697,6618.471395,7099.291775,7661.342131,8149.433297,8346.301907,8599.269157,8833.063476,9022.997022,9068.087985,9202.509792,9185.712621,9293.002637,9477.80292,9570.975429,9721.770575,9997.996257,10520.05182,11045.99566,11581.57655,12054.80858,12327.06172,12412.97867,12258.51197,12528.4742,13132.08999,13423.04352,13912.05806,14483.27403,15093.24859,15723.5687,16118.69693,16319.88388,16553.18715,16822.75066,17144.83906,17551.58552,17848.9431,17734.02915,16928.02262,16797.42747
Australia ,7411.576424,7507.343783,7417.837696,7505.25744,7790.585565,8027.412053,8108.324879,8090.238535,8305.474779,8628.438443,8790.908221,8653.137983,9026.798412,9399.914539,9848.904077,10151.85783,10241.28271,10732.74651,11148.30527,11560.99528,12023.54473,12289.52169,12404.41679,12878.09034,12985.12402,13169.83023,13558.83727,13546.37241,13768.65096,14319.54181,14411.83916,14660.33561,14411.81902,14238.92364,15062.41135,15638.35616,15757.16981,16293.30111,16752.2561,17194.4128,17172.68224,16743.32399,16988.87401,17478.18521,18145.56849,18529.55821,19075.08248,19612.09177,20377.94976,20970.89429,21377.82313,21662.02567,22236.93527,22666.27779,23322.00788,23764.61369,24097.57345,24911.57787,25218.30189,25255.63884,25584.48836
N. Zealand ,8455.649239,7653.324528,7796.293753,7855.851667,8743.398132,8725.437325,9000.183171,9045.006138,9185.490633,9630.126609,9465.178818,9744.907398,9730.565992,10132.01645,10418.41085,10878.65475,11362.02117,10681.96397,10545.4875,11511.20674,11189.33541,11576.18335,11850.39773,12424.22217,12879.28329,12488.61377,12648.28527,11989.00439,12033.92507,12284.21103,12346.73438,12883.89396,12996.26982,13184.469,13666.46452,13664.25993,13879.67674,13891.40811,13815.82862,13869.15335,13687.46339,13374.22335,13373.42153,14031.54395,14551.04778,14909.24714,15144.36517,15407.10715,15477.08033,16202.02373,16518.11579,16933.89158,17485.54434,17880.94913,18298.02547,18705.72369,18926.94024,19268.63599,18875.36208,18843.11385,18886.1612
Canada,7291.479766,7533.490223,7833.035205,7984.259099,7699.418882,8201.251112,8651.945715,8606.741597,8534.014767,8676.236851,8752.507628,8832.745004,9276.909344,9566.381691,9999.364316,10472.91669,10946.13511,11078.26999,11479.06409,11912.35222,12050.49052,12561.92569,13072.49433,13837.89534,14204.68902,14316.26252,14902.39184,15222.68074,15680.20036,16170.14528,16175.70639,16472.4498,15779.40552,16076.4133,16835.82473,17582.06895,17862.10397,18348.15459,18993.07673,19108.48707,18872.38851,18262.46377,18146.72469,18309.10769,18941.7684,19237.79771,19330.59662,19961.8229,20612.38735,21563.04068,22487.70819,22686.64559,23155.13657,23406.98027,23952.90863,24484.34465,24967.16721,25300.08386,25262.07114,24361.02142,24941.23563
USA,9561.34786,10116.24634,10315.54461,10612.608,10359.10836,10896.85472,10914.28216,10919.98674,10630.52801,11230.16926,11328.47552,11401.73443,11904.98451,12242.3405,12772.56643,13418.70172,14133.52666,14330.0304,14862.93883,15179.40862,15029.84609,15304.29883,15943.86744,16689.34307,16491.26974,16283.63268,16975.08657,17566.50275,18372.97212,18789.3937,18577.36665,18855.55487,18325.12026,18920.15639,20122.6671,20717.32296,21236.08546,21787.69367,22499.44162,23059.27819,23200.56031,22832.79005,23284.98188,23640.11258,24312.78896,24637.32986,25263.10165,26074.23942,26893.45086,27869.81203,28701.93432,28726.09432,28976.93019,29458.92251,30199.80086,30841.6455,31357.53959,31654.92675,31251.26649,29898.64422,30491.34438
Argentina ,4986.724458,5073.029915,4717.413859,4874.493824,4979.828648,5237.000075,5285.31468,5460.686494,5697.980988,5241.468063,5559.465947,5861.841649,5677.233225,5455.440482,5926.126658,6370.747338,6320.604235,6398.951785,6577.756622,7037.280383,7301.966217,7529.937018,7634.565559,7961.973879,8334.083602,8122.497305,7965.20183,8304.381424,7807.247683,8226.909848,8205.979887,7606.558514,7245.755199,7387.053452,7425.854256,6834.930882,7223.791941,7297.928854,7054.363064,6520.109296,6432.921661,6954.710722,7383.739587,7748.367729,8119.048972,7785.950334,8090.801274,8614.729624,8899.888248,8545.157891,8409.969914,7967.806307,7038.063218,7518.343329,7966.885575,8540.598227,9101.152747,9715.227196,9971.923685,9580.694777,10256.27514
