country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
Argentina ,0.011,0.015,0.019,0.011,0.018,0.020,0.018,0.016,0.014,0.030,0.028,0.025,0.030,0.039,0.035,0.025,0.023,0.026,0.017,0.016,0.012,0.001,-0.005,-0.007,-0.011,-0.017,-0.010,-0.013,-0.010,-0.023,-0.024,-0.009,0.002,0.005,0.009,0.013,0.011,0.017,0.024,0.027,0.027
Brazil ,0.034,0.037,0.037,0.033,0.030,0.024,0.029,0.025,0.025,0.026,0.027,0.030,0.035,0.046,0.051,0.055,0.059,0.060,0.056,0.055,0.054,0.040,0.030,0.015,0.013,0.016,0.015,0.014,0.010,0.007,-0.005,0.001,0.000,0.009,0.010,0.007,0.002,0.003,0.003,0.001,0.010
Chile ,0.015,0.016,0.014,0.012,0.017,0.014,0.023,0.017,0.016,0.026,0.021,0.025,0.020,0.008,0.007,-0.007,-0.014,-0.007,-0.002,0.002,0.008,0.006,-0.007,-0.005,0.000,0.016,0.019,0.015,0.014,0.016,0.012,0.014,0.040,0.050,0.050,0.059,0.061,0.061,0.057,0.046,0.048
Colombia ,0.015,0.017,0.016,0.013,0.013,0.013,0.014,0.015,0.019,0.019,0.022,0.023,0.026,0.030,0.031,0.030,0.030,0.031,0.035,0.034,0.032,0.029,0.023,0.018,0.016,0.017,0.018,0.019,0.015,0.012,0.013,0.013,0.017,0.021,0.023,0.025,0.022,0.020,0.018,0.011,0.011
Mexico ,0.029,0.025,0.025,0.032,0.033,0.030,0.030,0.028,0.030,0.033,0.032,0.032,0.037,0.038,0.034,0.034,0.032,0.030,0.032,0.036,0.039,0.044,0.035,0.023,0.021,0.018,0.011,0.009,0.003,-0.001,-0.004,-0.008,-0.003,0.004,0.005,-0.003,0.006,0.012,0.016,0.016,0.018
Peru ,0.026,0.026,0.028,0.026,0.030,0.029,0.033,0.031,0.030,0.032,0.026,0.022,0.018,0.019,0.017,0.019,0.012,0.008,0.009,0.013,0.010,0.010,0.008,-0.011,-0.011,-0.016,-0.008,0.001,-0.007,-0.025,-0.034,-0.035,-0.036,-0.017,-0.009,-0.003,-0.009,-0.010,-0.002,0.013,0.022
Uruguay,0.006,0.002,-0.002,-0.006,-0.010,-0.010,-0.007,-0.012,-0.013,0.003,0.004,0.002,0.002,0.003,0.005,0.011,0.012,0.018,0.022,0.022,0.024,0.030,0.019,0.012,0.007,0.003,0.007,0.014,0.009,0.004,-0.001,-0.003,0.018,0.028,0.036,0.033,0.030,0.027,0.032,0.028,0.026
Venezuela,0.026,0.016,0.013,0.014,0.013,0.012,0.006,-0.001,0.004,0.003,0.010,0.015,0.012,0.015,0.009,0.006,0.012,0.013,0.009,0.006,-0.005,-0.006,-0.009,-0.019,-0.020,-0.020,-0.022,-0.024,-0.020,-0.030,-0.020,-0.010,-0.001,0.004,0.000,0.004,-0.001,0.003,-0.002,0.002,0.001
Bolivia ,-0.018,-0.022,-0.020,-0.005,-0.002,-0.003,0.010,0.020,0.026,0.030,0.031,0.032,0.032,0.032,0.032,0.034,0.034,0.032,0.027,0.023,0.017,0.015,0.006,-0.005,-0.008,-0.014,-0.024,-0.025,-0.024,-0.021,-0.016,-0.012,-0.007,0.002,0.005,0.009,0.017,0.019,0.020,0.017,0.015
Costa Rica,0.033,0.034,0.028,0.022,0.026,0.024,0.035,0.034,0.030,0.034,0.033,0.036,0.040,0.040,0.041,0.035,0.033,0.036,0.034,0.032,0.027,0.019,0.003,-0.002,0.000,-0.001,-0.001,-0.005,-0.007,-0.005,-0.003,0.001,0.018,0.022,0.020,0.023,0.019,0.020,0.025,0.027,0.026
Cuba,0.000,-0.006,-0.008,0.007,0.003,-0.001,-0.004,-0.007,-0.013,-0.002,-0.007,-0.001,0.002,0.010,0.015,0.019,0.017,0.012,0.025,0.029,0.033,0.034,0.033,0.028,0.027,0.024,0.022,0.017,0.013,0.010,0.011,-0.009,-0.026,-0.046,-0.047,-0.045,-0.036,-0.032,-0.032,-0.026,-0.020
Dominican Rep.,0.024,0.010,0.017,0.025,0.026,0.006,0.009,0.007,0.002,0.012,0.018,0.032,0.028,0.034,0.034,0.053,0.047,0.050,0.052,0.047,0.043,0.037,0.027,0.020,0.015,0.008,0.005,0.008,0.006,0.015,0.004,0.001,0.010,0.013,0.016,0.024,0.029,0.029,0.036,0.031,0.042
Ecuador ,0.023,0.026,0.019,0.017,0.015,0.013,0.012,0.015,0.016,0.014,0.014,0.015,0.024,0.045,0.045,0.047,0.054,0.054,0.056,0.060,0.058,0.056,0.043,0.017,0.015,0.015,0.009,-0.003,0.001,-0.003,-0.005,-0.002,0.000,0.004,0.005,0.002,0.002,0.011,0.003,-0.002,0.000
El Salvador,0.017,0.018,0.022,0.018,0.026,0.026,0.025,0.025,0.025,0.024,0.022,0.023,0.018,0.019,0.017,0.018,0.015,0.017,0.021,0.017,0.007,-0.002,-0.010,-0.012,-0.015,-0.017,-0.019,-0.021,-0.025,-0.022,-0.010,-0.002,0.008,0.013,0.016,0.020,0.021,0.022,0.024,0.026,0.025
Guatemala,0.005,0.008,0.009,0.015,0.018,0.021,0.019,0.019,0.024,0.025,0.029,0.031,0.036,0.034,0.037,0.034,0.035,0.039,0.035,0.034,0.032,0.027,0.016,0.006,0.000,-0.003,-0.010,-0.016,-0.019,-0.020,-0.021,-0.018,-0.009,-0.002,0.002,0.007,0.011,0.014,0.017,0.018,0.019
Haïti,0.001,-0.005,-0.002,-0.006,-0.016,-0.011,-0.020,-0.017,-0.020,-0.013,-0.014,-0.003,-0.007,0.004,0.013,0.011,0.020,0.023,0.025,0.029,0.033,0.023,0.015,0.011,0.004,0.007,-0.002,-0.004,-0.009,-0.015,-0.023,-0.020,-0.032,-0.035,-0.044,-0.039,-0.035,-0.032,-0.030,-0.029,-0.027
Honduras,0.006,0.003,0.004,0.000,0.010,0.015,0.013,0.013,0.016,0.014,0.011,0.012,0.010,0.011,0.020,0.014,0.019,0.024,0.028,0.032,0.029,0.027,0.021,0.016,0.006,0.008,-0.001,-0.006,-0.010,-0.011,-0.010,-0.009,-0.001,0.007,0.001,0.001,0.005,0.004,0.003,-0.002,0.003
Jamaica ,0.072,0.067,0.061,0.050,0.046,0.043,0.036,0.026,0.029,0.032,0.038,0.035,0.035,0.041,0.030,0.023,0.013,0.008,0.005,-0.004,-0.021,-0.018,-0.020,-0.025,-0.021,-0.024,-0.015,-0.005,-0.002,0.008,0.019,0.019,0.020,0.019,0.019,0.026,0.023,0.013,0.008,0.002,-0.003
Nicaragua,0.021,0.021,0.016,0.024,0.026,0.028,0.031,0.030,0.031,0.036,0.036,0.033,0.026,0.021,0.023,0.014,0.015,0.017,0.008,-0.029,-0.026,-0.026,-0.030,-0.029,-0.044,-0.046,-0.052,-0.060,-0.064,-0.035,-0.040,-0.046,-0.046,-0.051,-0.046,-0.038,-0.032,-0.027,-0.011,0.009,0.006
Panama,0.022,0.033,0.036,0.039,0.039,0.041,0.043,0.041,0.047,0.048,0.048,0.045,0.043,0.040,0.038,0.031,0.026,0.019,0.023,0.020,0.029,0.026,0.027,0.022,0.020,0.024,0.026,0.028,0.001,-0.004,-0.013,-0.008,-0.006,-0.001,0.002,0.000,-0.001,0.001,0.022,0.026,0.024
Paraguay,-0.002,0.001,0.010,0.010,0.012,0.013,0.010,0.012,0.010,0.014,0.019,0.018,0.016,0.021,0.024,0.025,0.031,0.035,0.043,0.050,0.058,0.063,0.054,0.043,0.038,0.035,0.028,0.021,0.016,0.010,-0.001,-0.007,-0.002,0.005,0.005,0.006,0.008,0.006,0.000,-0.005,-0.009
Puerto Rico ,0.048,0.052,0.052,0.055,0.056,0.059,0.058,0.059,0.062,0.061,0.064,0.061,0.060,0.057,0.051,0.039,0.036,0.035,0.037,0.034,0.026,0.021,0.013,0.007,0.013,0.019,0.024,0.023,0.023,0.023,0.026,0.027,0.035,0.040,0.037,0.040,0.035,0.033,0.030,0.030,0.030
China ,0.040,0.012,0.002,0.007,0.015,0.020,0.019,0.011,-0.002,0.004,0.016,0.037,0.038,0.036,0.026,0.022,0.013,0.024,0.038,0.038,0.031,0.034,0.040,0.041,0.053,0.057,0.065,0.069,0.065,0.058,0.058,0.059,0.060,0.063,0.061,0.065,0.061,0.057,0.050,0.056,0.062
India ,0.020,0.020,0.019,0.017,0.020,0.013,0.008,0.017,0.012,0.017,0.014,0.012,0.010,0.009,0.003,0.015,0.016,0.015,0.018,0.006,0.008,0.013,0.017,0.020,0.023,0.019,0.022,0.018,0.023,0.036,0.034,0.029,0.032,0.030,0.033,0.036,0.040,0.041,0.037,0.038,0.037
Indonesia,0.022,0.019,0.013,0.004,0.002,0.004,0.001,-0.004,0.007,0.011,0.019,0.018,0.029,0.050,0.047,0.043,0.053,0.062,0.055,0.049,0.044,0.047,0.031,0.020,0.024,0.027,0.025,0.023,0.025,0.029,0.029,0.032,0.043,0.048,0.049,0.055,0.056,0.056,0.035,0.027,0.025
Japan ,0.076,0.076,0.074,0.076,0.082,0.079,0.082,0.086,0.093,0.096,0.093,0.085,0.084,0.083,0.070,0.067,0.060,0.054,0.047,0.040,0.033,0.032,0.027,0.023,0.029,0.031,0.030,0.030,0.032,0.031,0.034,0.035,0.033,0.031,0.028,0.026,0.026,0.024,0.016,0.011,0.009
Philippines,0.033,0.028,0.026,0.024,0.020,0.019,0.016,0.016,0.017,0.015,0.018,0.018,0.019,0.021,0.021,0.022,0.027,0.027,0.028,0.029,0.030,0.029,0.027,0.021,0.010,-0.003,-0.008,-0.009,-0.007,-0.006,-0.008,-0.011,-0.014,-0.014,-0.002,0.011,0.013,0.014,0.007,0.005,0.006
S. Korea ,0.037,0.047,0.041,0.021,0.021,0.021,0.032,0.032,0.039,0.051,0.059,0.065,0.070,0.079,0.081,0.082,0.083,0.087,0.084,0.077,0.066,0.063,0.064,0.059,0.060,0.060,0.061,0.062,0.065,0.065,0.078,0.082,0.080,0.076,0.076,0.079,0.075,0.069,0.052,0.056,0.056
Thailand ,0.028,0.026,0.028,0.026,0.033,0.033,0.043,0.050,0.055,0.051,0.046,0.046,0.043,0.045,0.043,0.041,0.040,0.042,0.045,0.043,0.042,0.044,0.046,0.043,0.045,0.045,0.042,0.043,0.047,0.054,0.061,0.064,0.069,0.073,0.075,0.079,0.080,0.067,0.046,0.039,0.033
Taiwan,0.040,0.040,0.036,0.036,0.039,0.043,0.047,0.051,0.054,0.058,0.065,0.072,0.079,0.084,0.074,0.069,0.074,0.074,0.080,0.079,0.076,0.069,0.060,0.057,0.067,0.067,0.067,0.073,0.066,0.067,0.066,0.068,0.073,0.072,0.069,0.071,0.065,0.055,0.054,0.052,0.053
Bangladesh,0.001,0.004,0.000,0.008,0.007,0.018,0.009,0.009,0.020,0.016,0.015,0.004,-0.008,-0.018,-0.007,-0.014,-0.011,-0.009,-0.012,-0.009,-0.014,-0.006,0.008,0.012,0.005,0.009,0.009,0.013,0.009,0.008,0.014,0.015,0.020,0.020,0.020,0.022,0.023,0.025,0.028,0.031,0.031
Burma ,0.036,0.024,0.030,0.030,0.039,0.028,0.017,0.014,0.023,0.012,0.013,0.014,0.006,0.002,0.006,0.007,0.018,0.021,0.021,0.022,0.026,0.028,0.033,0.038,0.037,0.036,0.029,0.019,0.000,0.000,-0.005,-0.011,-0.007,-0.005,-0.002,0.002,0.009,0.019,0.037,0.044,0.055
Hong Kong,0.035,0.035,0.044,0.052,0.054,0.062,0.060,0.055,0.053,0.059,0.062,0.063,0.059,0.057,0.051,0.038,0.050,0.061,0.066,0.062,0.063,0.065,0.058,0.052,0.061,0.062,0.059,0.060,0.061,0.057,0.053,0.050,0.054,0.054,0.049,0.049,0.042,0.033,0.019,0.019,0.023
Malaysia ,-0.002,0.010,0.011,0.015,0.015,0.021,0.021,0.023,0.032,0.032,0.031,0.032,0.034,0.044,0.045,0.039,0.047,0.053,0.053,0.056,0.058,0.058,0.056,0.048,0.048,0.046,0.035,0.032,0.032,0.033,0.034,0.036,0.039,0.043,0.044,0.055,0.064,0.065,0.048,0.045,0.044
Nepal ,0.020,0.020,0.018,0.014,0.013,0.013,0.015,0.012,0.007,0.008,0.007,0.003,0.004,0.000,0.004,0.003,0.000,0.004,0.007,0.005,0.000,0.001,0.009,0.006,0.008,0.012,0.012,0.012,0.015,0.015,0.024,0.030,0.021,0.028,0.026,0.023,0.024,0.024,0.018,0.019,0.019
Pakistan,0.001,0.010,0.016,0.013,0.018,0.019,0.024,0.023,0.029,0.034,0.039,0.034,0.027,0.028,0.024,0.024,0.022,0.022,0.024,0.021,0.020,0.026,0.032,0.032,0.032,0.037,0.037,0.038,0.036,0.037,0.032,0.030,0.031,0.027,0.028,0.024,0.025,0.021,0.019,0.019,0.018
Singapore ,0.004,0.007,0.010,0.016,0.009,0.012,0.022,0.032,0.044,0.061,0.068,0.073,0.080,0.083,0.095,0.092,0.089,0.086,0.082,0.077,0.074,0.068,0.059,0.056,0.057,0.052,0.048,0.050,0.051,0.049,0.046,0.045,0.046,0.048,0.049,0.055,0.058,0.056,0.043,0.040,0.041
Sri Lanka,0.003,-0.001,-0.001,-0.001,0.002,-0.001,-0.002,0.005,0.010,0.013,0.015,0.013,0.012,0.015,0.014,0.014,0.019,0.017,0.016,0.019,0.020,0.028,0.031,0.032,0.034,0.036,0.039,0.034,0.030,0.027,0.029,0.028,0.028,0.029,0.030,0.031,0.030,0.036,0.038,0.040,0.040
