country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
Haïti,1050.619588,1049.586777,1091.335627,1039.384615,1105.263158,1042.199108,1112.926758,1027.793696,1088.276638,1017.37931,1061.942115,998.9392734,1072.765073,982.688391,940.6483791,931.3629702,906.91553,870.1663933,886.134068,896.3346076,919.1807972,969.4656489,995.028102,1024.930748,1074.595503,1034.804226,1107.208495,1096.397666,1132.038065,1196.446007,1267.5,1213.096139,1152.242695,1140.819312,1123.159785,1104.28043,1081.533944,1052.328535,1038.984738,1027.935683,1005.406265,988.2885696,836.4249578,800.9606725,719.4530216,739.812815,754.7622407,760.2768166,762.3574144,768.7691692,761.4871056
Honduras,1313.356345,1344.466219,1356.219929,1421.056472,1299.846861,1292.8501,1353.917703,1372.014076,1370.347667,1360.18404,1397.798774,1386.045327,1415.679742,1416.943299,1437.603596,1506.552365,1538.337882,1568.367758,1603.172692,1559.217107,1556.146234,1562.389482,1563.160802,1580.996847,1745.288426,1731.909265,1850.56932,1979.225821,2102.991001,2127.679043,2061.764758,2031.322909,1928.900478,1852.190947,1859.477231,1874.150316,1824.424141,1867.937056,1898.875939,1910.822552,1856.739738,1853.129828,1904.144034,1980.068143,1885.954172,1899.323589,1912.188277,1952.809129,1957.757858,1871.419093,1911.571165
Jamaica ,1326.784876,1412.193239,1504.10737,1691.065904,1858.154724,2020.412344,2190.102485,2468.25919,2458.238997,2541.405715,2653.537478,2702.197561,2722.31324,2757.021098,2903.972807,3069.657482,3128.979903,3178.234761,3283.905746,3480.38539,3848.67272,3803.230484,3857.598257,4130.37468,3908.464203,3844.876594,3563.814927,3450.923445,3439.414052,3335.832678,3121.406423,3162.46068,3148.836819,3210.414141,3174.168159,3020.289375,3064.331593,3295.787942,3385.50853,3605.535275,3786.330028,3800.651225,3830.878273,3859.18564,3846.343205,3889.8349,3845.796932,3762.917825,3674.309563,3669.875322,3657.446191
Nicaragua,1615.788457,1674.169788,1899.999142,1887.618455,2002.212121,2071.576653,2007.762336,2110.642407,2052.419815,2018.898829,1982.986512,2065.13549,2218.66381,2382.339991,2577.669244,2734.246234,2735.840338,2834.643981,2783.39332,2875.268865,2811.632784,2855.982541,2862.236979,2921.479997,3235.468843,3128.880827,3186.281844,3349.254951,3021.723525,2151.32378,2154.120687,2194.509281,2118.531004,2167.880339,2073.670724,1944.218113,1861.82598,1804.185351,1562.445415,1499.433749,1437.449118,1363.542474,1324.129353,1280.057943,1293.15197,1314.025086,1340.368807,1374.674761,1398.305085,1634.348457,1519.756839
Panama,1915.962093,1851.325964,1900.902051,1969.469584,1992.759876,2055.102879,2107.954271,2269.850852,2240.976889,2321.669091,2391.056195,2573.708384,2710.316889,2881.853593,2920.046926,3085.276872,3219.38163,3388.151856,3531.343874,3698.967083,3813.7525,4010.165184,4109.461967,4248.192771,4230.228471,4195.540309,4161.830357,4096.634093,4418.666667,4510.427529,5082.142857,5186.093047,5362.254902,5292.167227,5163.918983,5295.202952,5360.307414,5383.252105,4455.256299,4352.364721,4466.360217,4772.634166,5064.282845,5229.708432,5287.867079,5286.201668,5308.550186,5432.944606,5543.081873,5617.977528,5655.172414
Paraguay,1584.366142,1572.62692,1505.904069,1508.683695,1495.171182,1523.038331,1547.458681,1578.291741,1625.464733,1580.840047,1555.350038,1588.027569,1656.870565,1659.143696,1687.188852,1738.563061,1712.062885,1773.613026,1788.646818,1809.5657,1871.781362,1901.735417,1946.364797,2037.504642,2143.114636,2218.793829,2312.799452,2503.515233,2716.764898,2951.633568,3300.68836,3494.358036,3281.305638,3093.164119,3100.056054,3131.227879,3037.820682,3079.373234,3185.425505,3275.703201,3280.63148,3267.91848,3230.358335,3265.68585,3270.298696,3324.534479,3275.875796,3271.212708,3171.600981,3103.17606,3010.550787
Puerto Rico ,2143.823264,2205.369128,2341.266278,2470.508167,2560.523939,2649.333333,2840.373499,2968.141593,3001.739887,3239.018088,3420.695505,3677.397926,3880.646034,4200.911559,4400.941783,4718.932029,4993.209935,5263.950658,5463.111468,5840.428002,6348.847104,6642.448991,6930.483026,7301.758038,7246.934109,6946.214197,7092.899335,7422.355289,7819.084995,8164.254654,8182.517211,8195.202916,7848.122035,7796.971741,8282.595088,8373.185228,8973.712559,9329.742648,9849.806848,10246.17754,10539.42566,10706.01413,11122.74544,11541.70505,11913.4493,12340.95272,12605.99975,12913.92578,13250.90232,13738.39137,14112.74253
China ,448.0217258,491.0185119,537.6140339,552.17668,556.936722,576.5302183,616.1119291,635.9913901,690.3748268,686.3897418,662.1404051,552.8932503,550.4378389,590.290693,644.8181799,701.593294,746.3162905,706.9206812,674.914462,712.9738388,778.3518572,794.9613901,798.3318446,838.3949021,835.146332,871.1810955,852.6708822,893.627147,977.9515042,1039.409497,1061.052653,1110.193478,1186.053719,1257.743666,1395.859475,1519.15341,1597.005971,1737.053693,1830.037308,1834.186743,1870.930289,1967.182259,2132.175936,2311.822409,2514.660167,2863.484818,2891.98883,3013.350405,2993.193686,3162.233832,3420.865722
India ,619.0027855,622.909589,629.4301075,656.8944591,671.6632124,675.6412214,700.6932668,679.5207824,715.638756,717.1338028,753.2488479,758.4324324,758.1585903,778.9698276,821.2278481,770.7505155,762.0343434,807.013834,808.7007722,844.7485822,867.9926063,856.2057762,833.8024691,853.1586207,843.4165261,897.3360791,889.3580645,936.6466877,965.5787037,895.3463855,938.4418262,976.7080925,985.4590395,1042.79668,1059.596752,1078.601325,1101.154345,1124.560914,1215.92795,1269.965937,1308.820024,1304.646841,1350.321854,1401.473914,1464.236076,1542.544978,1635.406947,1674.989195,1755.052071,1835.297417,1882.376838
Indonesia,817.2944876,864.014163,900.8637011,913.1747761,962.1885292,948.1514481,955.3082807,977.4307407,946.6745135,986.7263905,1014.74285,1047.733689,1024.75207,951.4009138,977.7393111,990.4271286,964.7351056,934.4128412,1017.906571,1105.039619,1230.74516,1247.227695,1364.044799,1544.262779,1548.877501,1514.799732,1616.287423,1698.18768,1740.39799,1786.191721,1897.751617,1969.458279,1860.029674,1879.835013,1971.198391,1984.091764,2068.93969,2138.431979,2226.893986,2387.611982,2514.45698,2694.309249,2841.61508,2997.718364,3170.31398,3373.594144,3576.152778,3684.219808,3151.027157,3126.605953,3229.194723
Japan ,1920.720721,2125.608509,2336.424682,2474.343696,2581.869875,2770.749137,2947.870106,3135.873353,3288.895322,3553.935736,3986.432886,4426.284224,4776.516828,5128.644256,5667.690458,5933.747612,6505.531579,7152.293623,7983.313409,8874.088897,9713.951433,10040.32422,10733.59956,11433.80206,11144.5202,11343.78106,11668.9679,12063.85498,12584.8783,13163.09713,13427.72994,13754.45171,14078.3704,14306.87289,14772.58696,15331.25084,15679.38106,16251.29386,17184.63784,17942.51366,18789.07116,19347.10308,19440.2993,19417.43561,19536.81945,19871.71446,20343.36045,20617.43762,20154.494,20070.39909,20480.95126
Philippines,1070.262527,1150.57671,1185.853489,1253.674354,1308.095364,1357.509279,1409.813105,1442.111086,1447.891501,1500.72291,1476.185287,1512.387244,1536.771452,1595.391683,1600.187262,1633.152095,1653.9047,1690.094636,1721.701238,1749.873136,1764.1316,1807.715144,1853.359576,1963.516602,1978.541451,2033.297726,2152.307164,2210.947131,2261.531544,2323.215739,2375.570625,2396.319279,2420.739988,2407.105917,2176.406259,1966.755962,1983.088925,2018.72731,2105.307752,2184.088056,2197.419114,2135.957591,2098.905877,2098.963841,2143.929449,2193.168408,2267.179806,2330.875135,2267.248045,2286.890956,2335.620068
S. Korea ,853.8902207,787.0210411,835.2758418,1071.676294,1123.956175,1168.856442,1148.869232,1205.666909,1233.829293,1242.75931,1226.389134,1246.591589,1245.178567,1315.518882,1389.651229,1436.335133,1569.336866,1644.651688,1812.050068,2040.007608,2167.333519,2332.360186,2456.469184,2824.259678,3015.248472,3161.701766,3476.408254,3774.591064,4063.913126,4294.026749,4114.101353,4301.861943,4557.290342,5006.965673,5374.622581,5670.391609,6262.968894,6915.909855,7620.589565,8027.303352,8704.425109,9446.109833,9877.381087,10391.16967,11198.5704,12094.23728,12859.85233,13500.53386,12634.33699,13889.5843,14997.53538
Thailand ,817.0493934,848.8702115,869.1178832,935.2509666,898.436119,945.0215928,929.6963535,910.1539631,913.7394163,992.1160579,1078.227367,1099.869411,1149.422263,1205.020361,1248.641165,1307.873145,1412.225782,1485.763874,1561.445589,1636.062887,1694.271348,1724.67857,1748.287313,1873.61864,1910.005001,1958.71972,2091.366558,2249.328598,2421.646007,2496.055976,2554.259406,2653.739622,2744.783846,2847.492703,2961.266818,3050.106785,3170.260142,3420.805709,3819.558688,4225.183008,4633.101387,4956.584618,5344.011121,5733.815761,6115.469014,6531.258385,6819.510854,6558.745337,5994.07308,6212.397645,6440.149121
Taiwan,915.7725322,949.0413074,1028.265471,1084.434302,1145.338738,1189.05694,1207.579488,1253.363693,1289.720559,1329.002675,1353.190314,1398.130841,1459.233749,1544.628719,1679.127977,1810.355632,1915.601218,2070.356612,2185.874407,2334.15493,2537.021745,2804.064056,3113.396624,3447.909926,3421.978162,3521.573999,3918.405841,4235.778667,4716.676419,4997.535534,5259.894311,5488.699784,5590.358172,5978.721123,6521.196744,6761.959474,7477.343265,8597.972973,8897.681247,9538.033395,9938.379933,10610.09276,11304.27318,11950.43951,12731.32524,13417.97245,14050.41864,14695.92653,15068.92022,15842.91013,16627.60736
Bangladesh,539.5438685,541.1503052,548.3139665,547.1227632,547.0130793,507.7195166,551.3288202,530.3385038,509.8038048,526.121337,544.6337357,564.0213102,550.2857056,594.1799036,588.6091932,607.9032498,603.5347378,578.375846,619.2724072,614.9339477,629.7660841,586.4382369,505.5676107,497.3150074,547.2572973,529.3060829,540.9567814,529.4874651,551.3280737,560.5125,548.5610986,551.0208679,545.0600108,558.7304736,575.8663037,580.0966255,591.6024725,602.2308868,605.257632,605.903604,631.0311733,642.3707571,664.0236171,683.3248935,699.9827616,722.7930549,744.0184299,771.1912533,797.7966734,822.3440386,856.2998783
Burma ,395.6863568,446.4264056,449.299726,454.0902059,419.3578276,466.6049436,489.6426689,510.2210542,488.2234705,554.6647317,563.5524849,567.4497269,606.3137175,612.5805345,612.4489862,616.7074918,580.2213613,585.5303475,612.4072851,625.7044757,641.5878992,649.889126,642.1273619,627.7421174,648.4527825,663.4244523,691.5743793,720.3598889,755.9140008,778.328486,828.1856428,859.236686,889.0163932,909.8559379,936.2600536,945.0656808,918.600771,867.0743224,757.1663302,774.4829147,785.7197462,767.0299519,828.8315784,865.5085724,913.4399328,959.6663546,1004.760303,1046.11896,1090.08369,1192.052231,1337.126672
Hong Kong,2218.149307,2295.439885,2377.346065,2459.637856,2545.985031,2635.721169,2729.289375,2824.617184,2923.863915,3026.555234,3133.678015,3243.584483,3652.426479,4083.136017,4327.170005,4825.036827,4864.872311,4824.057161,4879.953717,5344.858821,5695.377621,5968.407782,6472.532012,7105.113232,7090.702843,6990.536421,7905.710491,8706.50348,9276.914837,9795.525083,10502.85398,11202.29965,11332.89011,11796.78584,12845.7363,12763.27847,13959.74369,15596.53398,16715.74213,17043.41196,17540.55936,18333.95167,19193.05625,19985.33156,20720.83747,20659.22077,20967.10975,21682.4068,20229.9849,20583.76558,22032.12329
Malaysia ,1559.265373,1440.02307,1471.464699,1439.902369,1490.25706,1460.258325,1505.386611,1454.536527,1413.017689,1467.352863,1530.404071,1592.215344,1636.80326,1669.244334,1727.593742,1804.065527,1846.299366,1830.351876,1942.198251,2005.38289,2079.152237,2180.4918,2289.480138,2559.967814,2688.244707,2648.422396,2910.316049,3076.047336,3270.533309,3456.526273,3656.764953,3823.826323,3954.111751,4095.84859,4307.534332,4156.68804,4104.507173,4218.262804,4481.510586,4789.25547,5130.605593,5469.247876,5801.760383,6218.80645,6621.622471,7092.253695,7607.99142,7955.151463,7178.528056,7424.513621,7873.520022
Nepal ,496.3339475,505.2987024,517.0684874,542.8651752,548.5493349,553.6312906,572.4278299,566.3921255,591.6891981,601.3462201,606.9923405,612.9990788,617.9795562,622.5518627,626.4775702,630.5239895,662.9903605,640.7564051,633.2193219,649.1605986,653.3442719,632.9255558,640.400041,624.8394664,651.1736021,647.4806746,662.0018107,667.5706063,681.8998759,682.8342378,652.0859351,637.0721356,699.1189501,662.1246006,708.1990772,733.0123955,744.8442591,754.2676802,792.2629516,788.9334445,825.0760535,853.6981977,862.8102286,869.6129898,914.2581201,918.7413312,940.7814726,953.077764,946.6130893,954.8875285,994.4733216
Pakistan,643.0199457,607.5448181,595.5755449,637.2570368,636.4234968,635.4979791,638.3780853,649.9365123,642.6297541,633.2463562,647.4103645,669.0438781,698.8800575,723.3265959,757.6035637,770.6243367,811.5509138,819.862188,854.0922959,885.4464829,951.5422375,930.84495,913.4101514,953.6974865,961.9981847,977.6668908,1005.779511,1023.010265,1079.382846,1087.475072,1160.619864,1207.379855,1255.690565,1302.632477,1321.405322,1399.245305,1444.373434,1482.713871,1531.541286,1560.149968,1588.162087,1629.468383,1707.565151,1707.834051,1739.041292,1780.24383,1846.455137,1830.971207,1849.954992,1882.472218,1904.1066
Singapore ,2218.960963,2252.598071,2279.503106,2314.146669,2320.141003,2357.71735,2333.041703,2318.232776,2294.574664,2186.239919,2309.888241,2421.875,2520.283396,2700.835655,2541.268462,2667.337962,2891.335815,3162.924757,3540.258449,3964.749082,4439.126983,4904.160159,5459.951682,5977.200182,6275.899184,6430.213029,6797.19182,7223.584054,7751.954453,8362.492133,9057.956005,9450.30465,9653.945953,10298.36055,10937.93344,10709.85568,10899.72652,11743.20607,12717.88673,13475.43675,14220.07811,14638.26804,15167.15244,16383.75716,17572.98616,18310.08108,19159.70963,20231.11551,19286.96284,19983.13275,21263.31113
Sri Lanka,1252.871163,1292.704043,1312.613774,1298.68757,1296.381138,1336.702946,1311.87472,1297.055273,1301.056259,1284.805948,1295.30582,1285.892181,1297.133111,1290.703118,1320.071563,1329.494013,1283.56727,1368.450893,1436.623609,1461.017152,1498.725703,1457.097862,1459.775659,1492.098886,1516.737497,1527.447943,1546.338121,1619.834261,1689.949093,1765.602826,1829.838928,1913.226288,1976.698482,2050.497248,2125.003216,2185.61648,2262.75435,2252.219813,2278.874754,2306.750911,2423.772306,2519.45006,2599.279201,2739.880565,2852.142177,2970.887102,3046.892127,3204.964633,3320.668577,3421.497339,3578.78931
Afghanistan,644.7561632,652.7874495,663.5939493,692.0389394,694.1701167,695.0685784,712.6510907,698.8471079,723.4405778,728.9649052,739.4106486,729.9267893,726.3017159,723.189125,720.4839612,719.5929035,709.7114237,711.9105742,719.4731305,713.1226109,709.4576032,658.6984392,629.9954279,684.0618506,702.8715206,720.6330532,737.4476162,669.2709026,704.1588926,688.8189291,689.9746687,763.5575629,832.6465772,862.5476877,846.7450474,818.9504214,877.6639891,725.7017021,655.5617108,639.7522359,604.0490304,600.5932102,552.8277775,475.7891576,426.0660999,512.4157866,526.0686692,540.9086032,556.1953237,571.2563173,565.2309015
Cambodia ,481.9767533,486.340766,504.4914224,497.3704035,541.8470287,517.747099,571.5817943,594.2655907,607.8769285,649.7814963,670.5173537,646.5087262,680.3516131,711.7056471,673.878877,687.3256127,699.6747781,716.6127148,729.9245549,722.0938758,646.998367,615.2962429,577.1419063,777.3691879,657.9296621,579.6081518,643.4067961,717.4452769,810.384028,830.6059815,828.2495074,815.5240526,852.4999582,885.5658746,925.6861359,965.7228475,989.9578321,935.4402995,924.4292067,913.3577095,881.2604539,914.9821905,937.1253549,931.3223648,984.5789304,1024.543529,1055.808785,1092.903526,1125.711696,1245.078512,1328.573666
Laos,612.9426337,620.5699143,627.9160544,634.9406804,641.6523777,648.5118651,654.5267979,660.6300499,666.9600809,672.7787354,678.9745233,685.514282,691.9516107,698.2828663,705.3014228,711.7853885,718.9034184,725.8590173,732.9976417,740.2742567,747.6665738,755.1543676,762.7168101,770.1080464,777.0731409,783.5835296,804.2767115,820.6720846,835.659056,856.1756488,876.0585201,891.225534,898.8155335,904.444482,910.8939902,918.4699969,920.5775262,922.6444074,924.9013288,927.0641162,929.1163989,930.8123121,953.0367297,1020.252693,1053.518708,1079.214777,1077.238937,1105.398881,1110.365682,1166.926429,1203.223219
Mongolia ,435.4220318,447.4375013,462.1170205,475.5888946,490.2937536,504.7118285,519.6835962,536.1997157,551.8104691,568.5782958,585.5536887,602.9440372,620.6200261,640.0310318,659.0609089,678.7745368,698.5885296,720.3131796,741.7442845,763.5285397,787.1112536,811.1266947,835.289663,860.2308654,886.2113218,912.423907,938.7082675,967.9319372,997.0096074,1027.083849,1057.519941,1114.796539,1175.377214,1209.969618,1246.973503,1282.171577,1364.241869,1373.606606,1404.823339,1402.853008,1332.10735,1180.858552,1046.612659,997.5895118,1003.062506,1046.161039,1050.162074,1073.556753,1092.767899,1075.465994,1059.030535
North Korea ,853.8570858,708.9837717,752.9196362,965.9816643,1012.97218,1053.914468,1036.010242,1086.981815,1111.906685,1119.935103,1104.99428,1123.990877,1121.960772,1186.046914,1253.048369,1294.997258,1414.993304,1482.99807,1632.965322,1838.975929,1954.010314,2522.106635,2560.948705,2824.310773,2840.892963,2840.967343,2840.921643,2840.924405,2841.029548,2840.924948,2841.06945,2841.001914,2841.079408,2840.999465,2841.009013,2840.961355,2840.917414,2841.056593,2840.978753,2841.032898,2841.06548,2841.007597,2577.858785,2541.303417,1850.441147,1521.223737,1253.866814,1175.988229,1185.105343,1199.407376,1190.30543
Vietnam,658.0757944,676.3311657,693.7597324,712.2411708,732.0830663,750.0884254,763.6100132,775.4182684,784.9487587,791.6135182,799.1146907,812.0152323,885.2194363,882.3024909,895.3697731,876.7426186,859.2057401,730.5155521,699.2824363,739.0580556,735.026849,754.0863944,802.0375943,836.0500551,783.4158222,709.9293405,809.3476559,818.1304499,805.6485132,795.030087,757.1599563,766.8660674,810.9054402,836.4389887,890.9663449,923.2512475,928.6484633,941.1157469,976.2293259,996.1517103,1024.91428,1062.645492,1132.9522,1202.049019,1285.256937,1384.524017,1490.344248,1588.385854,1656.976082,1713.097337,1805.427252
Bahrain ,2104.453947,2184.904296,2267.331732,2350.810851,2435.675745,2517.820254,2598.506291,2673.760078,2739.475172,2796.464063,2843.368127,2882.446498,2930.541907,2994.159474,3072.824395,3173.460426,3282.853154,3401.927214,3520.274249,3645.56655,3787.892874,3982.619077,4197.907471,4375.859813,4573.814478,3922.257373,4313.157882,4444.111703,4414.875887,4221.968069,4388.246401,4313.128183,4414.479548,4541.769108,4556.698389,4374.044213,4316.065771,4256.587284,4267.429396,4235.38179,4104.060102,4041.380644,4186.895529,4600.555799,4468.050635,4528.042493,4599.756073,4632.896108,4744.566008,4835.883105,4972.351226
Iran,1719.610564,1673.617463,1628.976037,1587.618247,1545.669126,1504.36263,1594.062034,1766.995414,1918.062596,2023.66774,2156.482365,2272.471317,2250.291889,2426.094558,2526.16752,2753.146771,2939.920502,3176.472574,3550.266678,3897.280155,4188.820588,4576.776471,5173.565354,5462.028223,5777.705538,5882.512089,6691.351743,6402.074553,5463.716059,4816.966021,3973.515746,3692.589528,4099.925452,4459.398304,4360.768661,4298.862291,3753.570519,3583.594736,3293.224558,3326.527694,3526.089256,3812.914513,3859.304296,3750.958159,3716.563533,3770.184939,3982.17805,4059.234779,4113.68326,4140.655039,4301.116077
Iraq ,1363.606289,1445.382531,1556.517999,2129.019205,2463.221025,2298.36342,2389.284354,2299.776725,2493.225327,2523.143953,2735.020789,2961.150896,3016.588104,2871.712802,3115.463756,3287.802956,3348.518209,3163.714738,3603.772116,3604.130364,3472.706264,3566.681436,3322.585018,3753.314191,3824.925072,4315.30502,5023.093142,4992.007914,5693.481963,6755.60517,6377.487668,5041.070095,4833.091918,4268.592266,4135.685108,3932.39532,3758.941195,3796.843448,2907.591954,2570.542456,2458.436037,946.6573109,1196.324266,1161.028874,1070.393699,944.6291378,1031.587948,962.492816,1074.614505,1132.496354,1221.391015
Israel ,2817.303103,3158.946316,3028.991829,2910.30313,3374.371495,3701.057177,3860.289055,3991.649601,4108.795602,4501.442327,4663.166565,4996.187529,5266.800637,5593.227667,5916.235526,6272.371283,6190.1225,6221.567711,7033.192018,7722.621573,8100.623187,8711.19549,9477.867,9644.970545,10025.23282,10147.87112,10071.30517,9863.066833,10124.8881,10514.77165,10984.25549,11357.33247,11390.27379,11585.6664,11483.92513,11672.33721,12020.35002,12669.64974,12708.07753,12604.01323,13066.87868,13557.11348,14084.59998,14150.03492,14680.87832,15133.22685,15496.14654,15606.65113,15833.43691,15948.65351,16985.01939
Jordan ,1663.149003,1695.372975,1725.896607,1756.585661,1786.830498,1625.150178,2139.398203,2104.314218,2220.091622,2287.257083,2330.006006,2685.192238,2619.691374,2649.348589,2980.635139,3183.422776,3137.391629,3059.04258,2673.673698,2772.97504,2395.483117,2365.673736,2355.098167,2388.458437,2506.075777,2582.962025,3096.424043,3182.389972,3718.153273,3919.128387,4479.919353,4502.434111,4642.922902,4556.08091,4766.558906,4754.364693,5001.976325,4963.425442,4749.971991,4102.98432,3792.400484,3462.993931,3718.866817,3772.271309,3865.703219,4015.071919,3997.626153,4032.921538,4061.785699,4107.880075,4188.624187
Kuwait ,28878.13814,29777.138,30023.39565,31361.24124,33199.89516,32256.69417,32876.34509,31447.4621,29906.75097,29568.13591,28813.4935,26112.19227,26443.20391,25331.26022,25302.93621,23532.89711,24049.69384,22408.99023,22300.19537,20963.20773,30694.5667,30929.91698,30290.85627,26688.74779,21933.55004,18161.66463,18166.05814,16417.3486,16539.47147,17674.75033,13270.94855,10290.08244,8685.497178,8965.986168,9023.901232,8164.614113,8474.74686,7789.190085,7727.443975,7968.162841,6120.886457,8179.057448,8266.742797,10424.52244,10695.40531,10262.74793,9872.016461,9773.74786,9815.456958,9356.8421,9516.773445
Lebanon ,2428.739425,2120.7179,2193.195404,2457.357023,2745.03133,2886.32362,2743.54798,2716.801878,2268.800445,2395.169213,2392.522112,2481.559897,2507.24132,2458.798,2534.266203,2706.068554,2804.477559,2591.952995,2831.140103,2809.631103,2916.627735,3000.53847,3176.427937,3154.784837,3502.174917,3460.401795,3522.524722,3612.676714,3709.396532,3506.387119,3523.754706,3362.051364,3134.032988,3099.876659,3164.646087,3244.867364,3101.462444,2168.793223,1968.474711,1963.722536,1936.390877,2637.627417,2733.410546,2895.568861,3090.908214,3248.61542,3331.040547,3415.552255,3468.6321,3392.661486,3402.660018
Oman,623.0946166,649.561438,677.4142373,706.5772683,735.8996407,766.2936512,798.8034281,831.004955,866.2867618,900.2372568,934.7083836,923.1468012,1083.666258,1102.596609,1075.467963,1053.25846,1079.723391,1749.251053,3093.549273,3782.483626,3798.535548,3716.156494,3934.302182,3278.849266,3541.452917,4267.115204,4597.170094,4390.167272,4085.727026,4043.998364,4071.913421,4522.977252,4800.139148,5346.218779,5975.936138,6544.950159,6442.141061,6712.234236,6670.496062,6707.720251,6478.959035,6606.087395,6895.604166,7046.811418,7098.137923,7226.832177,7228.943324,7471.118834,7478.993431,7253.148652,7414.711071
Qatar,30387.13122,30523.41113,30107.4149,30919.21372,32302.48817,31137.39697,31762.32027,31350.87311,31394.39159,32896.15194,32810.11699,30436.71068,29049.30907,28175.94659,26465.86405,25785.06118,31781.54607,34860.38682,36392.84592,35280.24296,32573.31271,37472.89303,39156.57496,42916.23503,36131.90702,34421.31852,34611.32215,28857.64436,29530.9815,28737.04286,28771.2562,23404.61138,18221.72117,14521.19306,12769.34481,10388.31464,8081.248829,8041.622151,7836.654178,7614.015405,7343.151099,6913.353257,7236.649061,6971.441321,6885.081635,6921.588808,7233.063083,8904.429897,9194.700674,9210.774851,9724.119085
Saudi Arabia ,2230.766033,2373.897662,2469.807126,2664.371785,2911.893197,2922.039516,3074.991013,3119.05039,3204.354763,3458.067937,3719.096731,4066.425219,4445.355002,4715.465748,5004.609533,5469.295352,6101.910012,6462.871151,6848.093973,7169.782579,7623.636279,8475.485776,9496.576769,11039.71053,12332.50383,11787.04212,12105.72534,13064.02466,12919.22499,12842.66197,13217.07828,13420.94148,12882.56646,10863.33495,10252.92563,9047.565456,8090.989421,8105.143218,8027.480676,8004.161083,8993.223235,9664.533475,9664.351802,9351.433629,9120.860303,8869.929896,8914.209863,8903.021841,8925.396562,8647.838729,8861.15832
Syria ,2408.502291,2264.131967,2786.32655,3084.157203,3452.995684,3039.267633,3507.923065,3626.797347,3039.471777,3062.497377,3023.467955,3168.453311,3795.668741,3673.495147,3636.870144,3511.939976,3138.766996,3291.034123,3305.648769,3800.849858,3540.30674,3758.859398,4543.515222,4017.397433,4820.966043,5570.152063,5975.643044,5704.837246,5997.629443,6009.851632,6507.873783,6891.286312,6785.700074,6637.62711,6143.034846,6290.410603,5772.323045,5680.519138,6219.108102,5479.926038,5700.684703,6100.798479,6712.472647,7012.989197,7203.043287,7390.21012,7406.845999,7133.511797,7334.625794,6924.693164,6906.274925
Turkey,1622.932766,1784.411094,1947.096101,2108.055727,1992.727782,2092.727181,2097.205113,2193.959481,2221.862216,2251.806755,2247.465209,2221.15237,2296.91163,2453.881074,2496.240396,2504.10648,2734.765341,2794.771604,2916.74822,3002.061523,3078.187374,3281.741885,3412.134542,3476.520359,3665.355746,3894.788718,4137.781036,4224.143102,4254.514985,4133.003202,4021.601593,4086.503443,4181.995418,4229.518567,4366.736088,4485.439177,4695.271324,4998.021793,5086.142935,5041.498143,5399.422355,5346.457941,5562.115653,5901.960902,5482.193415,5774.625667,6073.488602,6420.722338,6509.6118,6188.301386,6501.997941
UAE,15797.55809,16709.16025,17246.39268,18417.52233,19884.25814,19683.26654,20377.18792,20282.08938,20372.00556,21426.23433,22432.80229,23179.63527,24249.83472,25025.21315,25675.89542,26164.28399,26482.799,26610.42987,26374.44237,25495.04768,24552.41148,24805.56545,24805.61528,24887.07297,28449.08132,25465.00183,25598.04641,26296.28774,22545.00216,24801.7073,27709.37093,26635.27465,22983.21122,20538.23764,20159.51161,18545.88425,13769.84729,13480.33847,12682.2359,13220.36609,13960.84873,13446.60219,13056.49009,12288.37103,12425.28394,12495.00403,12445.33732,12787.88784,12212.35812,12017.14288,12814.30435
Yemen ,911.2310739,917.5192861,923.5326896,930.1461013,935.7812551,941.7904522,946.2745361,950.8385858,955.0512503,959.2990876,963.9419191,969.3957594,975.4034429,984.0224438,988.8938056,996.3309617,1007.392452,1018.901889,1028.12917,1040.420178,1229.967834,1413.904807,1494.545247,1640.040102,1695.963014,1783.548209,2002.662164,2161.711604,2281.107102,2342.054833,2290.454497,2363.185458,2336.315059,2400.859703,2422.292952,2331.894345,2310.555185,2329.444573,2350.881288,2352.876769,2272.214741,2327.789344,2427.348145,2430.365353,2502.01775,2560.825378,2598.363405,2649.574379,2720.73595,2734.380681,2811.987067
Algeria ,1364.739583,1346.940207,1375.860182,1368.743129,1436.990149,1445.223898,1553.061529,1693.260817,1718.879507,1993.510819,2088.103086,1799.434056,1433.056614,1767.757361,1805.880178,1869.675501,1725.158514,1824.169766,1977.430946,2105.494175,2249.219713,1999.65351,2349.833114,2356.540808,2427.527966,2521.953389,2608.239829,2758.686938,3018.66102,3192.183668,3151.825198,3131.141457,3227.648329,3288.601712,3363.257366,3431.032706,3301.181536,3191.804356,3043.111372,3066.721774,2946.865622,2839.856543,2812.582498,2686.412085,2604.329985,2650.755982,2702.260676,2687.202977,2781.524577,2829.099193,2849.066039
