country,country_code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
China ,CHN,0.04,0.012,0.002,0.007,0.015,0.02,0.019,0.011,-0.002,0.004,0.016,0.037,0.038,0.036,0.026,0.022,0.013,0.024,0.038,0.038,0.031,0.034,0.04,0.041,0.053,0.057,0.065,0.069,0.065,0.058,0.058,0.059,0.06,0.063,0.061,0.065,0.061,0.057,0.05,0.056,0.062
Colombia ,COL,0.015,0.017,0.016,0.013,0.013,0.013,0.014,0.015,0.019,0.019,0.022,0.023,0.026,0.03,0.031,0.03,0.03,0.031,0.035,0.034,0.032,0.029,0.023,0.018,0.016,0.017,0.018,0.019,0.015,0.012,0.013,0.013,0.017,0.021,0.023,0.025,0.022,0.02,0.018,0.011,0.011
Comoro Islands,COM,0.024,0.019,0.025,0.04,0.042,0.039,0.045,0.045,0.041,0.037,0.035,0.051,0.033,0,0.012,-0.013,-0.035,-0.046,-0.043,-0.043,-0.044,-0.054,-0.042,-0.026,-0.042,-0.015,0,0.012,0.013,0.011,0.006,-0.005,-0.002,-0.003,-0.012,-0.007,-0.011,-0.011,-0.015,-0.014,-0.016
Congo 'Brazzaville',COG,0.017,0.016,0.015,0.014,0.013,0.013,0.014,0.015,0.016,0.017,0.018,0.022,0.027,0.031,0.035,0.04,0.034,0.02,0.013,0.021,0.032,0.043,0.043,0.039,0.037,0.024,0.016,0.026,0.027,0.016,0.002,-0.014,-0.019,-0.025,-0.037,-0.029,-0.018,-0.019,-0.015,-0.021,-0.017
Congo-Kinshasa,COD,0.028,0.004,0.014,0.012,0.004,0.001,0,-0.005,0.001,0.006,0.003,0.02,0.001,0.004,0.01,0.003,-0.01,-0.008,-0.018,-0.027,-0.025,-0.028,-0.029,-0.036,-0.034,-0.028,-0.018,-0.017,-0.01,-0.011,-0.016,-0.027,-0.038,-0.054,-0.063,-0.064,-0.069,-0.075,-0.076,-0.079,-0.083
Costa Rica,CRI,0.033,0.034,0.028,0.022,0.026,0.024,0.035,0.034,0.03,0.034,0.033,0.036,0.04,0.04,0.041,0.035,0.033,0.036,0.034,0.032,0.027,0.019,0.003,-0.002,0,-0.001,-0.001,-0.005,-0.007,-0.005,-0.003,0.001,0.018,0.022,0.02,0.023,0.019,0.02,0.025,0.027,0.026
Côte d'Ivoire,CIV,0.019,0.023,0.022,0.032,0.043,0.034,0.036,0.031,0.039,0.037,0.037,0.031,0.031,0.023,0.009,0.011,0.015,0.019,0.015,0.014,0.012,0.012,0.008,-0.003,-0.008,-0.003,-0.01,-0.016,-0.027,-0.029,-0.044,-0.047,-0.047,-0.031,-0.028,-0.027,-0.021,-0.013,-0.006,-0.002,0.002
Cuba,CUB,0,-0.006,-0.008,0.007,0.003,-0.001,-0.004,-0.007,-0.013,-0.002,-0.007,-0.001,0.002,0.01,0.015,0.019,0.017,0.012,0.025,0.029,0.033,0.034,0.033,0.028,0.027,0.024,0.022,0.017,0.013,0.01,0.011,-0.009,-0.026,-0.046,-0.047,-0.045,-0.036,-0.032,-0.032,-0.026,-0.02
Czecho-slovakia,CZE,0.039,0.041,0.04,0.038,0.039,0.035,0.034,0.033,0.03,0.029,0.024,0.024,0.026,0.031,0.03,0.029,0.027,0.026,0.023,0.021,0.021,0.017,0.016,0.015,0.014,0.012,0.013,0.01,0.011,0.012,0.006,-0.006,-0.01,-0.011,-0.01,-0.005,-0.002,-0.001,-0.002,-0.001,0.005
Denmark ,DNK,0.024,0.03,0.034,0.029,0.037,0.04,0.041,0.037,0.039,0.038,0.037,0.033,0.033,0.037,0.027,0.022,0.026,0.025,0.023,0.02,0.018,0.016,0.014,0.014,0.019,0.025,0.022,0.021,0.021,0.018,0.019,0.021,0.02,0.017,0.018,0.016,0.015,0.017,0.018,0.02,0.022
Djibouti,DJI,0.017,0.014,0.012,0.012,0.008,0.007,0.006,0.005,0.005,0.002,0.016,0.018,0.02,0.021,0.017,0.016,0.02,0.002,-0.001,-0.003,-0.022,-0.024,-0.025,-0.028,-0.014,-0.016,-0.022,-0.007,-0.008,-0.012,-0.014,-0.016,-0.019,-0.023,-0.035,-0.038,-0.042,-0.041,-0.037,-0.03,-0.027
Dominican Rep.,DOM,0.024,0.01,0.017,0.025,0.026,0.006,0.009,0.007,0.002,0.012,0.018,0.032,0.028,0.034,0.034,0.053,0.047,0.05,0.052,0.047,0.043,0.037,0.027,0.02,0.015,0.008,0.005,0.008,0.006,0.015,0.004,0.001,0.01,0.013,0.016,0.024,0.029,0.029,0.036,0.031,0.042
Ecuador ,ECU,0.023,0.026,0.019,0.017,0.015,0.013,0.012,0.015,0.016,0.014,0.014,0.015,0.024,0.045,0.045,0.047,0.054,0.054,0.056,0.06,0.058,0.056,0.043,0.017,0.015,0.015,0.009,-0.003,0.001,-0.003,-0.005,-0.002,0,0.004,0.005,0.002,0.002,0.011,0.003,-0.002,0
Egypt ,EGY,0.009,0.013,0.018,0.023,0.028,0.032,0.028,0.022,0.019,0.022,0.024,0.022,0.018,0.015,0.012,0.016,0.03,0.044,0.049,0.049,0.051,0.049,0.056,0.06,0.061,0.057,0.044,0.034,0.031,0.027,0.02,0.02,0.012,0.009,0.009,0.009,0.013,0.016,0.019,0.023,0.026
El Salvador,SLV,0.017,0.018,0.022,0.018,0.026,0.026,0.025,0.025,0.025,0.024,0.022,0.023,0.018,0.019,0.017,0.018,0.015,0.017,0.021,0.017,0.007,-0.002,-0.01,-0.012,-0.015,-0.017,-0.019,-0.021,-0.025,-0.022,-0.01,-0.002,0.008,0.013,0.016,0.02,0.021,0.022,0.024,0.026,0.025
Equatorial Guinea ,GNQ,0.033,0.037,0.045,0.055,0.065,0.076,0.076,0.079,0.08,0.071,0.058,0.039,0.014,0.006,-0.001,0.001,0.009,0.005,0.01,0.012,0.012,0.018,0.033,0.027,0.041,0.008,-0.002,0.001,-0.003,0.001,0.005,0.011,0.019,0.024,0.007,0.036,0.059,0.11,0.125,0.159,0.173
Eritrea & Ethiopia ,ETH,0.012,0.014,0.015,0.021,0.026,0.026,0.027,0.031,0.03,0.03,0.031,0.03,0.03,0.021,0.017,0.011,0.009,0.008,0.005,0.009,0.009,0.004,-0.001,0,-0.004,-0.01,-0.006,0,0.002,-0.004,-0.012,-0.021,-0.031,-0.023,-0.018,-0.007,-0.002,-0.008,-0.013,-0.009,-0.002
Finland ,FIN,0.039,0.038,0.038,0.042,0.039,0.04,0.04,0.038,0.04,0.044,0.044,0.039,0.044,0.047,0.045,0.041,0.038,0.036,0.036,0.033,0.031,0.03,0.026,0.022,0.022,0.024,0.027,0.031,0.034,0.032,0.027,0.018,0.012,0.008,0.009,0.01,0.011,0.013,0.013,0.011,0.017
France,FRA,0.036,0.035,0.038,0.039,0.041,0.04,0.04,0.039,0.041,0.045,0.044,0.044,0.043,0.044,0.04,0.035,0.035,0.035,0.033,0.03,0.026,0.023,0.021,0.017,0.016,0.018,0.016,0.015,0.017,0.017,0.018,0.018,0.017,0.015,0.016,0.016,0.015,0.015,0.014,0.013,0.015
Gabon,GAB,0.03,0.038,0.036,0.036,0.033,0.03,0.03,0.03,0.028,0.031,0.034,0.032,0.038,0.042,0.07,0.068,0.094,0.064,0.026,0.019,0.014,0.003,-0.01,-0.018,-0.043,-0.047,-0.08,-0.071,-0.038,-0.036,-0.034,-0.027,-0.028,-0.027,-0.026,-0.019,-0.01,0.01,0.011,-0.013,-0.022
Gambia ,GMB,0.017,0.027,0.021,0.017,0.018,0.025,0.036,0.035,0.033,0.037,0.02,0.015,0.023,0.027,0.039,0.022,0.017,0.019,0.012,0.017,0.017,0.005,0.01,-0.007,-0.028,-0.03,-0.036,-0.036,-0.022,-0.03,-0.017,-0.014,-0.023,-0.005,0.001,0.006,0.007,0.007,0,0,0.002
Germany ,DEU,0.071,0.066,0.061,0.055,0.053,0.047,0.043,0.038,0.039,0.038,0.035,0.034,0.034,0.036,0.032,0.027,0.031,0.034,0.032,0.03,0.027,0.025,0.02,0.018,0.021,0.023,0.02,0.018,0.018,0.017,0.012,0.016,0.019,0.015,0.014,0.013,0.012,0.012,0.011,0.01,0.017
Ghana,GHA,0.021,0.02,0.027,0.017,0.007,0.015,0.009,0.008,0.011,0,0.003,0.007,-0.001,-0.002,0.003,-0.011,-0.014,-0.012,-0.005,-0.009,-0.021,-0.026,-0.029,-0.04,-0.041,-0.024,-0.017,-0.016,-0.02,-0.013,-0.009,-0.005,0.007,0.02,0.018,0.018,0.02,0.022,0.022,0.023,0.024
Greece ,GRC,0.051,0.051,0.055,0.052,0.058,0.06,0.058,0.056,0.059,0.066,0.07,0.069,0.078,0.071,0.059,0.055,0.055,0.052,0.051,0.044,0.037,0.03,0.018,0.015,0.021,0.019,0.015,0.013,0.012,0.013,0.011,0.014,0.014,0.012,0.011,0.01,0.011,0.015,0.014,0.014,0.019
