"","AFG","AGO","ALB","ARE","ARG","AUS","BDI","BEN","BFA","BGD","BGR","BOL","BRA","CAF","CAN","CHE","CHL","CHN","CMR","COD","COG","COL","CRI","CUB","CZE","DEU","DNK","DZA","ECU","EGY","ESP","ETH","FIN","GAB","GBR","GHA","GIN","GMB","GNB","GNQ","GRC","GTM","HND","HUN","IDN","IND","IRL","IRN","IRQ","ISR","ITA","JPN","KEN","KHM","KOR","LAO","LBN","LBR","LKA","MAR","MDG","MEX","MLI","MMR","MNG","MOZ","MRT","MWI","MYS","NER","NGA","NIC","NLD","NOR","NPL","NZL","OMN","PAK","PAN","PER","PHL","POL","PRT","PRY","ROU","RUS","RWA","SAU","SDN","SEN","SLE","SLV","SOM","SWE","SYR","TCD","TGO","THA","TUN","TUR","TZA","UGA","USA","VEN","VNM","ZAF","ZMB","ZWE"
"SDN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3491,NA,2501,NA,NA,NA,NA,885325,NA,NA,NA,NA,NA,NA,5563,134785,NA,NA,NA,NA,18649,NA,1559,NA,89632,NA,NA,NA,NA,NA,22993,NA,NA,NA,41027,NA,7659,NA,NA,NA,77153,333484,NA,NA,198579,NA,NA,NA,NA,619,NA,11641,NA,NA,NA,NA,NA,NA,16311,NA,NA,NA,49160,1106,NA,NA,NA,6347,NA,NA,NA,7977,3143,NA,3814,7918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SEN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10573,NA,22093,8819,NA,49395,NA,NA,NA,NA,NA,NA,NA,45931,1766,NA,NA,NA,94338,NA,NA,NA,60663,NA,NA,NA,NA,NA,22977,NA,NA,NA,NA,NA,23881,NA,NA,NA,145561,39489,NA,NA,9488,NA,NA,NA,NA,15527,NA,2454,NA,NA,NA,NA,NA,NA,NA,NA,357098,NA,48938,NA,NA,NA,NA,NA,NA,NA,NA,1373,19684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SLE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1760,NA,NA,NA,NA,NA,NA,NA,NA,NA,394,11213,NA,NA,NA,NA,NA,NA,NA,NA,108159,NA,NA,NA,NA,NA,73684,NA,NA,NA,840,NA,4576,NA,NA,NA,NA,5641,NA,NA,4520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SLV",NA,NA,NA,NA,NA,3748,NA,NA,NA,NA,NA,NA,37862,NA,118525,18166,14678,58693,NA,NA,NA,21332,NA,NA,66872,223527,5764,NA,114164,NA,59613,NA,62447,NA,40760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10597,NA,NA,NA,41128,105557,NA,NA,86043,NA,NA,NA,NA,18343,NA,263468,NA,NA,NA,NA,NA,NA,5536,NA,NA,NA,13114,1831,NA,NA,NA,NA,NA,NA,NA,NA,5916,NA,NA,37617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SOM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4783,571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14694,1515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SWE",NA,NA,1279,244329,333642,1095008,NA,3866,NA,90751,78355,11594,1067104,NA,1472267,2112958,407136,3633782,NA,NA,NA,136906,58233,15256,886180,21411692,10565340,89738,6850,424681,3211979,20012,7007119,4403,13951680,28540,NA,NA,NA,NA,659479,40558,10034,602846,306272,NA,1674391,534377,NA,564363,5863137,4609101,29032,19930,952866,1687,63927,NA,45952,271371,9850,1412987,NA,NA,NA,NA,NA,2521,1126276,NA,157737,8695,8821522,10908200,2900,189835,31829,103623,64440,77621,175784,2323403,842543,NA,296343,962130,NA,614935,14737,4795,3058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SYR",NA,NA,NA,NA,63675,2088,NA,NA,NA,NA,18765,NA,24263,NA,36589,41423,6206,NA,NA,NA,NA,7372,NA,NA,19763,1801939,15149,24393,1699,NA,259288,NA,NA,NA,179280,NA,NA,NA,NA,NA,71189,NA,NA,15979,73986,NA,8635,34915,NA,NA,1098480,131459,NA,NA,195847,NA,NA,NA,NA,19735,NA,9188,NA,NA,NA,NA,NA,NA,66167,NA,NA,NA,71136,NA,NA,NA,17692,4044,NA,2142,NA,13964,70590,NA,79764,92820,NA,NA,NA,NA,NA,NA,NA,58056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TCD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4272,17181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,268,NA,NA,NA,NA,NA,3093,2580,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4953,34627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TGO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7736,NA,7509,6789,NA,NA,NA,NA,NA,NA,NA,NA,NA,26730,912,NA,NA,NA,11814,NA,NA,NA,30074,NA,NA,NA,NA,NA,NA,NA,NA,483,26105,NA,1850,17985,NA,684,34314,21786,NA,NA,NA,NA,NA,NA,NA,4862,NA,NA,NA,NA,NA,NA,NA,NA,8814,NA,NA,NA,43909,NA,NA,NA,NA,NA,NA,NA,NA,7499,1581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"THA",NA,38495,NA,2359708,342417,2865549,NA,68284,6363,254480,13089,1805,488836,NA,1476866,1056302,144302,7763176,18066,NA,69992,35950,12755,4494,104856,4349977,344870,21100,6924,147987,990355,5803,350686,9271,3469973,65925,4108,NA,6631,NA,158840,10622,NA,268461,2409473,NA,380008,555124,304465,630935,1534038,26022389,39091,357549,3802867,448304,45353,NA,243008,54705,2972,656584,41348,756180,510,14931,7180,NA,6590907,1199,191214,NA,2482304,179658,26502,390044,1002821,252189,NA,105266,2106642,216270,167537,6106,44727,456951,805,1426922,21390,107759,1939,NA,NA,633213,49503,NA,25987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
