"","Afghanistan","Afr.Other NS","Africa N.NES","Albania","Algeria","Angola","Areas NES","Argentina","Armenia","Asia NES","Asia West NS","Australia","Austria","Azerbaijan","Bahamas","Bahrain","Bangladesh","Barbados","Belarus","Belgium-Lux","Belize","Benin","Bermuda","Bolivia","Bosnia Herzg","Br.Antr.Terr","Brazil","Bulgaria","Burkina Faso","Burundi","CACM NES","Cambodia","Cameroon","Canada","Carib. NES","Cent.Afr.Rep","Chad","Chile","China","China HK SAR","China MC SAR","China SC","Colombia","Congo","Costa Rica","Cote Divoire","Croatia","Cuba","Cyprus","Czech Rep","Czechoslovak","Dem.Rp.Congo","Denmark","Djibouti","Dominican Rp","E Europe NES","Ecuador","EEC NES","Egypt","El Salvador","Eq.Guinea","Estonia","Ethiopia","Eur. EFTA NS","Eur.Other NE","Falkland Is","Fiji","Finland","Fm USSR","Fm Yugoslav","Fr Ind O","Fr.Guiana","France,Monac","Gabon","Gambia","Georgia","Germany","Ghana","Gibraltar","Greece","Greenland","Guadeloupe","Guatemala","Guinea","GuineaBissau","Guyana","Haiti","Honduras","Hungary","Iceland","India","Indonesia","Int Org","Iran","Iraq","Ireland","Israel","Italy","Jamaica","Japan","Jordan","Kazakhstan","Kenya","Kiribati","Korea D P Rp","Korea Rep.","Kuwait","Kyrgyzstan","LAIA NES","Lao P.Dem.R","Latvia","Lebanon","Liberia","Libya","Lithuania","Madagascar","Malawi","Malaysia","Mali","Malta","Mauritania","Mauritius","Mexico","Mongolia","Morocco","Mozambique","Myanmar","Nepal","Neth.Ant.Aru","Netherlands","Neutral Zone","New Calednia","New Zealand","Nicaragua","Niger","Nigeria","Norway","Occ.Pal.Terr","Oman","Oth.Oceania","Pakistan","Panama","Papua N.Guin","Paraguay","Peru","Philippines","Poland","Portugal","Qatar","Rep Moldova","Romania","Russian Fed","Rwanda","Samoa","Saudi Arabia","Senegal","Seychelles","Sierra Leone","Singapore","Slovakia","Slovenia","Somalia","South Africa","Spain","Sri Lanka","St.Helena","St.Kt-Nev-An","St.Pierre Mq","Sudan","Suriname","Sweden","Switz.Liecht","Syria","Taiwan","Tajikistan","Tanzania","TFYR Macedna","Thailand","Togo","Trinidad Tbg","Tunisia","Turkey","Turkmenistan","Uganda","UK","Ukraine","Untd Arab Em","Uruguay","US NES","USA","Uzbekistan","Venezuela","Viet Nam","World","Yemen","Yugoslavia","Zambia","Zimbabwe"
"Int Org",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Iran",1229,NA,NA,NA,23812,NA,25586,406477,32176,NA,NA,233749,270492,50122,NA,21303,39320,NA,5563,418307,NA,NA,NA,NA,1310,NA,356283,15303,NA,528,NA,NA,NA,392898,NA,1168,NA,7028,408552,3535,NA,NA,2283,NA,NA,121,4135,29128,6114,48037,NA,NA,96317,NA,NA,NA,8065,21704,7925,NA,NA,3695,975,NA,8636,NA,NA,84626,NA,NA,NA,NA,688503,NA,NA,10626,2153451,408,NA,13587,NA,NA,NA,7110,NA,NA,NA,NA,39335,NA,173931,80286,NA,NA,31897,24692,NA,1070164,NA,1200122,14080,122209,1402,NA,931,619905,8515,13233,NA,NA,259,1618,NA,NA,3196,NA,NA,81180,NA,117,NA,NA,24182,NA,41734,NA,NA,479,2073,289517,NA,NA,64016,NA,NA,NA,14109,NA,84415,NA,59817,NA,NA,5656,33213,1049,31909,10331,26887,317,38704,588045,NA,NA,39668,16983,NA,127,98127,7880,32440,NA,144698,285846,19594,NA,1562,NA,4568,NA,211702,294387,927,116535,2491,246,1044,169058,10424,NA,28428,302541,8622,NA,613805,113610,445161,37439,NA,269734,26514,4288,21802,13045398,NA,12307,NA,1857
"Iraq",NA,NA,NA,NA,15559,NA,NA,15780,NA,NA,NA,28533,7604,NA,NA,NA,NA,NA,NA,22422,NA,NA,NA,NA,NA,NA,17515,1342,NA,NA,NA,NA,NA,10371,NA,NA,NA,NA,80100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,235,NA,NA,6832,NA,NA,NA,685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2162,NA,NA,NA,NA,122637,NA,NA,NA,36892,NA,NA,1439,NA,NA,NA,NA,NA,NA,NA,NA,1138,NA,13175,26109,NA,71510,NA,2258,NA,44946,NA,9051,NA,1819,NA,NA,NA,7692,6193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16992,NA,NA,NA,NA,434,NA,3877,NA,NA,NA,NA,15664,NA,NA,1727,NA,NA,350,1329,NA,12766,NA,7501,NA,NA,NA,551,6956,270,414,NA,NA,2626,42054,NA,NA,NA,NA,NA,NA,4088,222,554,NA,1927,26478,NA,NA,NA,NA,NA,NA,4493,22382,NA,NA,NA,NA,NA,35439,NA,NA,8800,124175,NA,NA,30196,NA,NA,NA,NA,22899,NA,NA,NA,692636,NA,NA,NA,NA
"Ireland",276,NA,NA,431,2706,132,NA,17157,141,252,NA,35947,90358,1277,2800,214,9421,2915,795,490568,3975,535,146,102,243,NA,79719,2081,333,179,NA,6753,3357,263172,NA,979,480,13606,434609,254646,6052,NA,50572,488,11538,26558,17019,999,8993,46316,19036,473,294352,212,3036,NA,5001,NA,6566,492,NA,5201,928,NA,NA,NA,544,235684,81562,21385,357,NA,1478828,2380,NA,478,2335706,36273,431,22784,109,NA,1612,86558,702,354,106,8004,98160,3629,74727,64066,NA,1925,356,NA,125375,736823,965,2107862,1358,2453,14756,384,6270,439834,1137,NA,NA,656,17497,704,NA,433,4492,351,551,390139,9958,3916,2165,2994,56094,NA,42431,1138,677,102,132,1129266,NA,NA,18796,751,1287,3458,481029,NA,1228,NA,17156,2749,886,200,3599,101231,81064,100289,152,128,9155,219988,658,NA,9990,1934,265,982,1286061,9389,5963,5955,54635,377179,14706,NA,2286,406,1599,298,403543,252114,865,495989,248,1587,443,146339,727,523,15902,66535,1374,331,12288610,1906,11360,1527,1502,5609931,1602,3321,13060,33843491,152,11226,793,7013
"Israel",NA,NA,NA,NA,NA,NA,NA,58447,4624,366,NA,74612,113981,171,399,NA,NA,111,966,3077642,NA,NA,2649,392,1076,NA,58707,22364,210,NA,NA,507,622,212179,NA,478,NA,8422,191201,410498,282,NA,55273,184,2137,3970,2138,NA,29173,35585,24268,124,135908,2219,NA,NA,4633,NA,338858,294,NA,2259,4670,NA,NA,NA,NA,187130,622047,14614,NA,NA,1047072,20916,NA,384,2488659,527,1472,110498,NA,NA,928,1719,527,NA,NA,405,36730,2016,245582,11038,NA,NA,NA,158506,NA,1760155,1064,1003276,13200,664411,16141,NA,NA,310840,NA,NA,NA,NA,966,NA,3288,NA,1838,NA,NA,10366,182,6423,NA,202,57219,NA,1470,NA,230,283,NA,954133,NA,NA,2104,120,450,370,116737,NA,374,5782,NA,9101,134,2227,4085,16560,23596,89832,NA,6012,73807,855618,NA,NA,NA,NA,NA,NA,170386,4586,7958,NA,399081,462937,9545,NA,160,NA,NA,NA,306322,1604078,NA,338447,857,1530,1496,167788,417,732,1255,247600,1792,1130,2137565,49538,145,63861,NA,4953501,830,4594,8220,25971878,NA,6108,NA,7308
"Italy",1852,NA,NA,110297,2684756,78506,NA,752947,1076,916,NA,1055792,4571801,77132,14917,27295,232021,738,56834,9310714,5069,16612,11387,15277,80539,NA,1934422,436856,19513,1222,NA,5205,389908,1580376,NA,5252,1714,563004,3982695,285396,25006,NA,219475,156276,94983,278302,730281,33620,18298,820910,693009,73050,1771760,1750,26225,NA,162042,NA,1031136,6469,1801,20951,39602,NA,NA,1578,817,1297934,4511169,2587662,1135,2206,26337055,35039,593,24807,37988517,97634,2486,1386845,309,404,34913,27100,6172,3591,5971,26511,1177970,14374,1144241,836876,NA,1623634,445991,2006724,590683,NA,16029,4550796,18834,212679,48326,1416,1875,1252556,68075,2550,NA,4362,29030,17322,21528,4014520,62917,29824,4917,592807,25814,322371,88208,59298,219124,13608,391602,9104,12241,5912,50655,11682712,NA,18846,200406,7958,825,530229,770407,NA,3314,312,230806,67556,16896,40915,215986,169963,1271371,816044,8518,27682,1291446,4782964,3002,NA,1780976,78006,17091,767,487805,636601,1005153,12809,2454721,8018354,62203,NA,18518,3262,53343,927,2762441,8182456,531272,1288046,34787,10554,164296,697363,9813,21216,982651,1417619,73359,26445,12068441,605516,107137,78715,6204,10019772,160584,201692,145670,197488022,27852,313920,22499,97927
"Jamaica",NA,NA,NA,NA,3974,NA,NA,6335,NA,NA,NA,7154,1710,NA,NA,NA,NA,NA,NA,14119,NA,NA,NA,NA,NA,NA,127539,NA,NA,NA,NA,NA,NA,67369,NA,NA,NA,1796,26020,8382,NA,NA,10813,NA,NA,NA,NA,NA,NA,292,NA,NA,19528,NA,4632,NA,669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4575,NA,NA,NA,NA,59491,NA,NA,NA,36443,NA,NA,1322,NA,NA,NA,NA,NA,NA,NA,NA,1988,NA,3865,4336,NA,NA,NA,6684,3703,39734,NA,109512,NA,363,NA,NA,NA,38653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4832,NA,NA,NA,NA,193156,NA,NA,NA,NA,NA,NA,46030,NA,NA,12606,NA,NA,NA,26812,NA,NA,NA,254,NA,NA,NA,888,694,1104,533,NA,NA,136,6540,NA,NA,NA,NA,NA,NA,4275,687,3236,NA,6938,83087,NA,NA,NA,NA,NA,NA,9061,15246,NA,NA,NA,NA,NA,6308,NA,NA,267,10792,NA,NA,93577,NA,111,NA,NA,1463276,NA,52097,NA,2489538,NA,NA,NA,NA
"Japan",2003,NA,NA,2870,92978,13606,NA,518596,1187,1336906,NA,13525238,800124,801,11252,340381,104706,744,7993,1765546,29581,789,1558,11089,784,559,3209152,33022,4130,1046,NA,23330,22030,8732482,NA,503,3716,2441607,33240480,2093710,33084,NA,319119,6866,53059,15149,7729,76666,2962,111066,128394,60934,1665610,152,24585,NA,182322,NA,104134,14976,28869,11092,59834,NA,NA,966,54622,738610,3314321,71172,762,162,5900118,129220,23129,1019,11758536,66793,NA,94449,101178,244,69512,5825,852,10067,636,118075,205041,180476,2462988,13431496,NA,3116269,221734,1978242,929488,5192100,29498,NA,42801,82801,22869,87966,271011,14537694,2503910,844,NA,17630,11312,6434,16404,3008,22282,33566,47965,9664700,2513,8288,133922,14770,1562519,51526,312761,21522,83894,4655,22377,1740435,NA,241353,2070688,11128,302,103388,993715,NA,1803230,5809,471656,81127,508324,44692,393124,3962341,99201,171736,2820492,386,59592,3613355,618,1296,9958826,10684,3301,1822,5135262,29448,23340,215,2380589,1173542,201737,3123,13642,1089,62726,25188,2082524,3338014,17494,12209104,7814,51279,8133,8338386,410,17457,19035,196544,3376,6882,6057644,111031,10442214,30568,124630,66475381,46848,358792,1619387,297743012,192093,6091,181667,158708
"Jordan",NA,NA,NA,NA,8625,NA,NA,39718,NA,NA,NA,32578,24840,NA,NA,NA,NA,NA,NA,75556,NA,NA,NA,NA,NA,NA,66991,9752,NA,NA,NA,NA,NA,11040,NA,NA,NA,284,103331,1318,NA,NA,687,NA,NA,NA,NA,NA,NA,6537,NA,NA,20114,NA,NA,NA,279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9526,NA,NA,NA,NA,163858,NA,NA,NA,281573,NA,NA,17463,NA,NA,NA,NA,NA,NA,NA,NA,7006,NA,66145,53840,NA,2439,NA,12893,15971,210987,NA,141826,NA,670,NA,NA,NA,117641,14894,NA,NA,NA,NA,NA,NA,12042,NA,NA,NA,79106,NA,NA,NA,NA,440,NA,5328,NA,NA,NA,NA,76174,NA,NA,18293,NA,NA,NA,3695,NA,8632,NA,11401,NA,NA,NA,198,1196,7092,8239,6314,NA,29179,23194,NA,NA,78331,NA,NA,NA,22230,2192,3353,NA,12922,45163,NA,NA,NA,NA,NA,NA,28770,42980,NA,NA,NA,NA,NA,57391,NA,NA,6952,123373,NA,NA,164997,NA,1192,NA,NA,305119,NA,215,NA,2591892,NA,NA,NA,NA
"Kazakhstan",281,NA,NA,NA,NA,NA,1966,1635,851,NA,NA,3318,24941,14504,1319,NA,2067,420,63682,20379,223,148,NA,2158,108,NA,20275,4864,114,NA,NA,NA,568,15016,NA,NA,NA,13762,96220,1274,NA,NA,840,406,NA,795,1636,24179,2814,26013,NA,506,5522,NA,NA,NA,761,NA,623,3098,NA,4596,NA,NA,NA,NA,NA,35813,NA,NA,NA,NA,56312,NA,NA,3189,288017,716,189,6335,NA,NA,7490,NA,NA,NA,NA,202,29766,113,20261,1064,NA,8264,NA,8308,14146,72519,972,50040,NA,NA,NA,232,350,60699,NA,47681,NA,NA,12226,290,196,NA,14882,NA,490,2211,NA,462,NA,NA,3240,16634,262,NA,NA,NA,NA,53659,NA,NA,693,NA,163,639,1268,NA,7887,NA,6335,582,150,NA,13310,399,35151,340,247,4724,7860,1917897,813,NA,996,NA,NA,181,4755,12912,2498,NA,6016,5651,2229,NA,1163,NA,NA,NA,14222,36853,115,2094,7429,NA,328,1752,NA,NA,1138,119912,91341,281,123243,81523,18459,NA,106,154631,111470,127,152,3067598,NA,1394,243,637
"Kenya",NA,NA,NA,NA,NA,NA,NA,26151,NA,NA,NA,6820,5767,NA,NA,NA,NA,NA,NA,61654,NA,NA,NA,NA,NA,NA,15499,2042,NA,NA,NA,NA,NA,16580,NA,NA,NA,186,79816,4101,NA,NA,3524,NA,NA,NA,NA,NA,NA,2971,NA,NA,13781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18887,NA,NA,NA,NA,106003,NA,NA,NA,128423,NA,NA,4197,NA,NA,NA,NA,NA,NA,NA,NA,1418,NA,114342,26031,NA,2201,NA,9281,23446,82932,NA,178646,NA,744,NA,NA,NA,38134,232,NA,NA,NA,NA,NA,NA,1335,NA,NA,NA,21207,NA,NA,NA,NA,5616,NA,512,NA,NA,NA,NA,59958,NA,NA,865,NA,NA,573,6617,NA,25022,NA,32318,NA,NA,NA,NA,284,1638,3103,1918,NA,3077,11569,NA,NA,18754,NA,NA,NA,35542,844,858,NA,186434,24054,NA,NA,NA,NA,NA,NA,15349,23209,NA,NA,NA,NA,NA,26551,NA,NA,775,4434,NA,NA,292922,NA,574,NA,NA,141551,NA,NA,NA,1852307,NA,NA,NA,NA
"Kiribati",NA,NA,NA,NA,1713,NA,NA,514,NA,NA,NA,49521,420,NA,NA,NA,NA,NA,NA,363,NA,NA,NA,NA,NA,NA,125,NA,NA,NA,NA,NA,NA,254,NA,NA,NA,461,2725,356,NA,NA,264,NA,NA,NA,NA,NA,NA,241,NA,NA,535,NA,386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1870,NA,NA,NA,NA,3701,NA,NA,NA,1756,NA,NA,651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,617,1321,NA,NA,NA,247,NA,8954,NA,64193,NA,688,NA,NA,NA,4759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3501,NA,NA,NA,NA,300,NA,NA,NA,NA,NA,NA,440,NA,NA,7762,NA,NA,NA,1462,NA,NA,NA,NA,NA,NA,NA,NA,626,276,342,NA,NA,NA,671,NA,NA,NA,NA,NA,NA,19765,NA,NA,NA,767,5766,NA,NA,NA,NA,NA,NA,989,450,NA,NA,NA,NA,NA,2633,NA,NA,NA,NA,NA,NA,2080,NA,NA,NA,NA,27627,NA,NA,NA,205284,NA,NA,NA,NA
"Korea D P Rp",NA,NA,NA,NA,6094,NA,NA,NA,NA,NA,NA,6033,11827,NA,NA,NA,NA,NA,NA,10261,NA,NA,NA,NA,NA,NA,53107,1926,NA,NA,NA,NA,NA,8549,NA,NA,NA,3687,463187,4340,NA,NA,512,NA,NA,NA,NA,NA,NA,5184,NA,NA,3089,NA,NA,NA,2820,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,423,NA,NA,NA,NA,7412,NA,NA,NA,37749,NA,NA,1639,NA,NA,NA,NA,NA,NA,NA,NA,791,NA,36830,7025,NA,NA,NA,28594,178,19177,NA,195104,NA,1081,NA,NA,NA,1540,NA,NA,NA,NA,NA,NA,NA,276,NA,NA,NA,1413,NA,NA,NA,NA,7646,NA,NA,NA,NA,NA,NA,15035,NA,NA,447,NA,NA,39457,621,NA,NA,NA,1386,NA,NA,NA,1664,107,8331,157,891,NA,1615,31561,NA,NA,8346,NA,NA,NA,36693,711,617,NA,2566,6036,NA,NA,NA,NA,NA,NA,8572,4030,NA,NA,NA,NA,NA,36377,NA,NA,288,10509,NA,NA,19843,NA,NA,NA,NA,3203,NA,3920,NA,1080829,NA,NA,NA,NA
"Korea Rep.",644,NA,NA,48842,87204,209632,NA,143883,423,363966,NA,4563853,298529,1835,1626,192646,9203,320,7246,571609,1842,2536,NA,5075,NA,NA,998741,18247,857,NA,NA,2377,32436,2099401,NA,477,NA,777576,7079601,863396,1832,NA,44706,224798,22807,5279,1746,365,1946,56386,33288,3760,347060,257,17796,NA,289781,NA,133311,692,36005,7479,1476,NA,NA,1220,12208,379706,592236,25686,358,199,1745315,63534,342,950,4801191,9003,248,32826,789,NA,17574,16463,1204,4325,306,26299,40260,5174,710475,3351697,NA,1402942,181609,395339,334589,1797274,483,25099158,20416,58868,2901,31437,4919,NA,1167946,942,NA,1250,4398,2681,20596,12531,14612,387,202,2647992,10627,20701,1018,642,267673,3558,20323,1071,13158,1003,17826,931429,57811,39796,638204,4054,89604,253047,253897,NA,1104497,303,231761,278654,177117,5343,112518,697369,89270,26398,611781,1989,30769,1405192,1382,NA,5356260,2811,964,932,2084610,8449,9551,5130,1087502,404856,53203,208,28129,NA,33150,NA,577976,1247629,4046,2308336,3465,1733,20885,932138,388,6733,4317,143594,1134,1783,2113453,141137,2102849,8403,17800,24560022,133908,41411,170845,114849171,313656,6898,6088,13280
"Kuwait",NA,NA,NA,NA,2408,NA,NA,19851,NA,NA,NA,139035,45414,NA,NA,52246,2516,NA,NA,75152,NA,NA,NA,NA,133,NA,57690,1584,NA,NA,NA,361,436,102019,NA,NA,NA,5154,179839,13810,851,NA,1317,NA,273,409,652,130,6520,9159,1699,NA,46497,NA,139,NA,1052,NA,58322,NA,NA,NA,617,NA,NA,NA,NA,25090,717,NA,NA,NA,448625,NA,NA,NA,546217,284,NA,15417,NA,NA,4275,NA,NA,NA,161,642,18700,NA,216538,75024,NA,67728,NA,40070,NA,422322,NA,883129,35808,387,1539,NA,NA,163687,NA,NA,NA,NA,NA,48238,NA,NA,377,NA,NA,80396,NA,1976,118,379,32515,NA,4442,147,2236,NA,NA,125908,NA,NA,14662,NA,NA,458,3757,NA,17302,NA,34049,NA,NA,NA,642,19981,8738,9702,19033,NA,14226,8242,NA,NA,433467,377,NA,NA,55994,788,1330,2388,33664,90289,9702,NA,NA,NA,652,NA,59318,122932,62503,102401,NA,NA,647,80826,NA,NA,2278,119046,NA,NA,442526,2483,170754,574,NA,1115471,239,1098,2156,7106750,149,645,7272,2806
"Kyrgyzstan",NA,NA,NA,NA,10045,NA,NA,NA,NA,NA,NA,935,680,NA,NA,NA,NA,NA,NA,1850,NA,NA,NA,NA,NA,NA,NA,1157,NA,NA,NA,NA,NA,6440,NA,NA,NA,409,76930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,810,NA,NA,1590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1166,NA,NA,NA,NA,5294,NA,NA,NA,24144,NA,NA,1078,NA,NA,NA,NA,NA,NA,NA,NA,1782,NA,6167,1190,NA,16460,NA,267,769,6528,NA,2973,NA,48049,NA,NA,NA,13048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1929,NA,NA,493,NA,NA,NA,769,NA,281,NA,2973,NA,NA,NA,NA,NA,2128,1086,NA,NA,248,109500,NA,NA,NA,NA,NA,NA,182,213,1022,NA,151,551,NA,NA,NA,NA,NA,NA,3910,1961,NA,NA,NA,NA,NA,1603,NA,NA,NA,25176,NA,NA,4394,NA,NA,NA,NA,20086,NA,NA,NA,303267,NA,NA,NA,NA
"LAIA NES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,349,NA,NA,168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,905842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,568743,NA,NA,NA,NA
"Lao P.Dem.R",NA,NA,NA,NA,82509,NA,NA,NA,NA,NA,NA,9357,362,NA,NA,NA,NA,NA,NA,688,NA,NA,NA,NA,NA,NA,248,NA,NA,NA,NA,NA,NA,719,NA,NA,NA,541,24645,688,NA,NA,NA,NA,NA,NA,NA,NA,NA,265,NA,NA,904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,725,NA,NA,NA,NA,8919,NA,NA,NA,3768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,198,NA,526,866,NA,NA,NA,734,583,4906,NA,25871,NA,NA,NA,NA,NA,5859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,818,NA,NA,460,NA,NA,5832,3772,NA,NA,NA,398,NA,NA,NA,525,126,590,NA,NA,NA,241,2529,NA,NA,277,NA,NA,NA,25171,NA,NA,NA,1242,479,NA,NA,NA,NA,NA,NA,2654,975,NA,NA,NA,NA,NA,285225,NA,NA,NA,240,NA,NA,2988,NA,NA,NA,NA,2219,NA,NA,NA,412529,NA,NA,NA,NA
"Latvia",NA,NA,NA,NA,NA,NA,NA,2707,NA,NA,NA,2560,17241,NA,NA,NA,NA,NA,NA,51811,NA,NA,NA,NA,NA,NA,3275,6559,NA,NA,NA,NA,NA,5411,NA,NA,NA,7016,6542,292,NA,NA,NA,NA,NA,NA,NA,NA,NA,26812,NA,NA,65211,NA,NA,NA,4255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,195637,NA,NA,NA,NA,63381,NA,NA,NA,388327,NA,NA,3448,NA,NA,NA,NA,NA,NA,NA,NA,17478,NA,6110,1016,NA,127,NA,8774,11958,72690,NA,5462,NA,28770,NA,NA,NA,6662,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4874,NA,NA,NA,NA,1600,NA,NA,NA,NA,NA,NA,82638,NA,NA,13539,NA,NA,NA,43812,NA,NA,NA,166,NA,NA,NA,3344,NA,91363,1629,NA,NA,938,896774,NA,NA,NA,NA,NA,NA,3274,8491,3123,NA,154,13792,NA,NA,NA,NA,NA,NA,163892,16134,NA,NA,NA,NA,NA,3403,NA,NA,NA,5521,NA,NA,76446,NA,NA,NA,NA,134069,NA,NA,NA,2113854,NA,NA,NA,NA
"Lebanon",NA,NA,NA,NA,3135,NA,NA,19156,NA,NA,NA,7049,22496,NA,NA,NA,NA,NA,NA,188364,NA,NA,NA,NA,NA,NA,60470,19736,NA,NA,NA,NA,NA,28125,NA,NA,NA,733,109423,5977,NA,NA,716,NA,NA,NA,NA,NA,NA,43189,NA,NA,36484,NA,NA,NA,384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32488,NA,NA,NA,NA,541063,NA,NA,NA,407487,NA,NA,127232,NA,NA,NA,NA,NA,NA,NA,NA,22280,NA,14350,26433,NA,15647,NA,32021,NA,702896,NA,138640,NA,1496,NA,NA,NA,99173,8103,NA,NA,NA,NA,NA,NA,31618,NA,NA,NA,17308,NA,NA,NA,NA,3579,NA,4677,NA,NA,NA,NA,93336,NA,NA,937,NA,NA,280,7097,NA,1439,NA,6605,NA,NA,NA,839,1857,10691,11064,2234,NA,47832,68646,NA,NA,42068,NA,NA,NA,37673,10010,1343,NA,6532,112309,NA,NA,NA,NA,NA,NA,51457,116439,NA,NA,NA,NA,NA,51628,NA,NA,6443,138574,NA,NA,220901,NA,108,NA,NA,420590,NA,1820,NA,4086175,NA,NA,NA,NA
"Liberia",NA,NA,NA,NA,9919,NA,NA,4953,NA,NA,NA,262,489,NA,NA,NA,NA,NA,NA,10374,NA,NA,NA,NA,NA,NA,33450,5038,NA,NA,NA,NA,NA,1469,NA,NA,NA,6701,53006,NA,NA,NA,1758,NA,NA,NA,NA,NA,NA,582,NA,NA,89381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3984,NA,NA,NA,NA,311393,NA,NA,NA,243267,NA,NA,20276,NA,NA,NA,NA,NA,NA,NA,NA,322,NA,7980,1292,NA,NA,NA,1293,4237,227905,NA,1199171,NA,NA,NA,NA,NA,1284255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1014,NA,NA,NA,NA,3392,NA,5769,NA,NA,NA,NA,16173,NA,NA,NA,NA,NA,453,198914,NA,209,NA,1067,NA,NA,NA,509,206,45460,37826,NA,NA,15668,33765,NA,NA,136,NA,NA,NA,295399,235,225,NA,2488,128386,NA,NA,NA,NA,NA,NA,34262,9532,NA,NA,NA,NA,NA,3360,NA,NA,183,13909,NA,NA,12720,NA,NA,NA,NA,38353,NA,331,NA,4341196,NA,NA,NA,NA
